Concepto,Valoración 1 - 5,Frecuencia,Porcentaje,Porcentaje válido,Porcentaje acumulado
"En términos generales, estoy satisfecho/a con la UGR",1,113,"3,3933933934","3,3933933934","3,3933933934"
"En términos generales, estoy satisfecho/a con la UGR",2,272,"8,1681681682","8,1681681682","11,5615615616"
"En términos generales, estoy satisfecho/a con la UGR",3,916,"27,5075075075","27,5075075075","39,0690690691"
"En términos generales, estoy satisfecho/a con la UGR",4,1373,"41,2312312312","41,2312312312","80,3003003003"
"En términos generales, estoy satisfecho/a con la UGR",5,656,"19,6996996997","19,6996996997",100
Estoy satisfecho/a con el servicio prestado por la UGR,1,135,"4,0540540541","4,0540540541","4,0540540541"
Estoy satisfecho/a con el servicio prestado por la UGR,2,373,"11,2012012012","11,2012012012","15,2552552553"
Estoy satisfecho/a con el servicio prestado por la UGR,3,1118,"33,5735735736","33,5735735736","48,8288288288"
Estoy satisfecho/a con el servicio prestado por la UGR,4,1197,"35,9459459459","35,9459459459","84,7747747748"
Estoy satisfecho/a con el servicio prestado por la UGR,5,507,"15,2252252252","15,2252252252",100
La experiencia con la UGR fue satisfactoria,1,107,"3,2132132132","3,2132132132","3,2132132132"
La experiencia con la UGR fue satisfactoria,2,228,"6,8468468468","6,8468468468","10,0600600601"
La experiencia con la UGR fue satisfactoria,3,785,"23,5735735736","23,5735735736","33,6336336336"
La experiencia con la UGR fue satisfactoria,4,1316,"39,5195195195","39,5195195195","73,1531531532"
La experiencia con la UGR fue satisfactoria,5,894,"26,8468468468","26,8468468468",100
Tomé la decisión correcta cuando elegí­ la UGR,1,134,"4,024024024","4,024024024","4,024024024"
Tomé la decisión correcta cuando elegí­ la UGR,2,194,"5,8258258258","5,8258258258","9,8498498498"
Tomé la decisión correcta cuando elegí­ la UGR,3,763,"22,9129129129","22,9129129129","32,7627627628"
Tomé la decisión correcta cuando elegí­ la UGR,4,1195,"35,8858858859","35,8858858859","68,6486486486"
Tomé la decisión correcta cuando elegí­ la UGR,5,1044,"31,3513513514","31,3513513514",100
Valoración de prácticas coordinadas por la UGR (Relación entre actividad desarrollada durante el perí­odo de prácticas y los estudios),1,168,"5,045045045","9,2920353982","9,2920353982"
Valoración de prácticas coordinadas por la UGR (Relación entre actividad desarrollada durante el perí­odo de prácticas y los estudios),2,292,"8,7687687688","16,1504424779","25,4424778761"
Valoración de prácticas coordinadas por la UGR (Relación entre actividad desarrollada durante el perí­odo de prácticas y los estudios),3,491,"14,7447447447","27,157079646","52,5995575221"
Valoración de prácticas coordinadas por la UGR (Relación entre actividad desarrollada durante el perí­odo de prácticas y los estudios),4,524,"15,7357357357","28,982300885","81,5818584071"
Valoración de prácticas coordinadas por la UGR (Relación entre actividad desarrollada durante el perí­odo de prácticas y los estudios),5,333,10,"18,4181415929",100
Valoración de prácticas coordinadas por la UGR (Satisfacción con la actividad laboral desarrollada durante el perí­odo de prácticas),1,119,"3,5735735736","6,5818584071","6,5818584071"
Valoración de prácticas coordinadas por la UGR (Satisfacción con la actividad laboral desarrollada durante el perí­odo de prácticas),2,229,"6,8768768769","12,6659292035","19,2477876106"
Valoración de prácticas coordinadas por la UGR (Satisfacción con la actividad laboral desarrollada durante el perí­odo de prácticas),3,386,"11,5915915916","21,3495575221","40,5973451327"
Valoración de prácticas coordinadas por la UGR (Satisfacción con la actividad laboral desarrollada durante el perí­odo de prácticas),4,536,"16,0960960961","29,6460176991","70,2433628319"
Valoración de prácticas coordinadas por la UGR (Satisfacción con la actividad laboral desarrollada durante el perí­odo de prácticas),5,538,"16,1561561562","29,7566371681",100
