GRUPO,SUELDO MENSUAL,TRIENIO MENSUAL,,P.EXTRA JUN/DIC-13,
-,,,,SUELDO,TRIENIOS
A (A1),"1109,05","42,65",,"684,36","26,31"
B (A2),"958,98","34,77",,"699,38","25,35"
(B),"838,27","30,52",,"724,5","26,38"
C (C1),"720,02","26,31",,"622,3","22,73"
D (C2),"599,25","17,9",,"593,79","17,73"
E,"548,47","13,47",,"548,47","13,47"
,,,,,
NIVEL,C.D. MENSUAL,C.D. ANUAL,,,
,,,,,
30,"968,75",11625,,,
29,"868,93","10427,16",,,
28,"832,4","9988,8",,,
27,"795,85","9550,2",,,
26,"698,2","8378,4",,,
25,"619,47","7433,64",,,
24,"582,92","6995,04",,,
23,"546,41","6556,92",,,
22,"509,84","6118,08",,,
21,"473,35","5680,2",,,
20,"439,7","5276,4",,,
19,"417,25",5007,,,
18,"394,79","4737,48",,,
17,"372,33","4467,96",,,
16,"349,93","4199,16",,,
15,"327,44","3929,28",,,
,,,,,
TIPO,C.E. MENSUAL,C.E. ANUAL,P ADICIONAL,,
,,,,,
Gerente,"3688,28","44259,36","3688,28",,
L.D.(29),"1718,84","20626,08","1718,84",,
2A,"1094,52","13134,24","1094,52",,
3A,"875,63","10507,56","875,63",,
4A,"665,85","7990,2","665,85",,
5A,"552,74","6632,88","552,74",,
6A,"456,05","5472,6","456,05",,
7A,"437,81","5253,72","437,81",,
8A,"346,64","4196,02","346,64",,
PB Gestion,"608,1","7297,2","608,1",,
