TIPO,CARGO,DEDIC.,SUELDO UNIV.,SUELDO S.A.S.,SUELDO TOTAL,C. DESTINO UNIV.,C. DESTINO S.A.S.,C. DESTINO TOTAL,C. ESPECIF. UNIV.,C. ESPECIF. S.A.S.,C. ESPECIF. TOTAL,C. PROD S.A.S.,P.ADIC. C. ESPECF. UNIV.,P.ADIC. C. ESPECF. S.A.S.,P.ADIC. C. ESPECF. TOTAL
CATEDR. UNIVERS. ,Jefe Departamento ,T.C.,"1161,3",0,"1161,3","914,66","667,04","1581,7","1031,27","-21,66","1009,61","1296,24",0,0,0
CATEDR. UNIVERS. ,Jefe Departamento ,T.P.,"503,08","658,22","1161,3","842,98","738,72","1581,7",0,0,0,"1296,24",0,0,0
CATEDR. UNIVERS. ,Jefe Servicio,T.C.,"1161,3",0,"1161,3","914,66","525,8","1440,46","1031,27","-21,66","1009,61","1318,91",0,0,0
CATEDR. UNIVERS. ,Jefe Servicio,T.P.,"503,08","658,22","1161,3","842,98","597,48","1440,46",0,0,0,"1318,91",0,0,0
CATEDR. UNIVERS. ,Jefe Sección,T.C.,"1161,3",0,"1161,3","914,66","409,83","1324,49","1031,27","-117,35","913,92","969,7",0,0,0
CATEDR. UNIVERS. ,Jefe Sección,T.P.,"503,08","658,22","1161,3","842,98","481,51","1324,49",0,0,0,"969,7",0,0,0
CATEDR. UNIVERS. ,Facultativo Especialista,T.C.,"1161,3",0,"1161,3","914,66","329,21","1243,87","1031,27","-203,95","827,32","713,08",0,0,0
CATEDR. UNIVERS. ,Facultativo Especialista,T.P.,"503,08","658,22","1161,3","842,98","400,89","1243,87",0,0,0,"713,08",0,0,0
TITULAR UNIVERSIDAD y C.E.U.,Jefe Departamento ,T.C.,"1161,3",0,"1161,3","837,73","585,98","1423,71","481,11","528,5","1009,61","1296,24",0,0,0
TITULAR UNIVERSIDAD y C.E.U.,Jefe Departamento ,T.P.,"503,08","658,22","1161,3","571,32","852,39","1423,71",0,0,0,"1296,24",0,0,0
TITULAR UNIVERSIDAD y C.E.U.,Jefe Servicio,T.C.,"1161,3",0,"1161,3","837,73","444,72","1282,45","481,11","528,5","1009,61","1318,91",0,0,0
TITULAR UNIVERSIDAD y C.E.U.,Jefe Servicio,T.P.,"503,08","658,22","1161,3","571,32","711,13","1282,45",0,0,0,"1318,91",0,0,0
TITULAR UNIVERSIDAD y C.E.U.,Jefe Sección,T.C.,"1161,3",0,"1161,3","837,73","328,78","1166,51","481,11","432,81","913,92","969,7",0,0,0
TITULAR UNIVERSIDAD y C.E.U.,Jefe Sección,T.P.,"503,08","658,22","1161,3","571,32","595,19","1166,51",0,0,0,"969,7",0,0,0
TITULAR UNIVERSIDAD y C.E.U.,Facultativo Especialista,T.C.,"1161,3",0,"1161,3","837,73","248,17","1085,9","481,11","346,24","827,35","713,08",0,0,0
TITULAR UNIVERSIDAD y C.E.U.,Facultativo Especialista,T.P.,"503,08","658,22","1161,3","571,32","514,58","1085,9",0,0,0,"713,08",0,0,0
TITULAR UNIVERSIDAD y C.E.U.,Enfermero,T.C.,"1161,3",0,"1161,3","837,73",0,"837,73","481,11",0,"481,11","424,52",0,0,0
T.E.U.,Jefe Departamento ,T.C.,"1161,3",0,"1161,3","734,94","575,94","1310,88","297,04","712,57","1009,61","1296,24",0,0,0
T.E.U.,Jefe Departamento ,T.P.,"503,08","658,22","1161,3","447,05","863,83","1310,88",0,0,0,"1296,24",0,0,0
T.E.U.,Jefe Servicio,T.C.,"1161,3",0,"1161,3","734,94","434,67","1169,61","297,04","712,57","1009,61","1318,91",0,0,0
T.E.U.,Jefe Servicio,T.P.,"503,08","658,22","1161,3","447,05","722,56","1169,61",0,0,0,"1318,91",0,0,0
T.E.U.,Jefe Sección,T.C.,"1161,3",0,"1161,3","734,94","318,74","1053,68","297,04","616,88","913,92","969,7",0,0,0
T.E.U.,Jefe Sección,T.P.,"503,08","658,22","1161,3","447,05","606,63","1053,68",0,0,0,"969,7",0,0,0
T.E.U.,Facultativo Especialista,T.C.,"1161,3",0,"1161,3","734,94","238,11","973,05","297,04","530,28","827,32","713,08",0,0,0
T.E.U.,Facultativo Especialista,T.P.,"503,08","658,22","1161,3","447,05",526,"973,05",0,0,0,"713,08",0,0,0
T.E.U./A.T.S.-DUE,Enfermero Superior,T.C.,"1161,3",0,"1161,3","734,94","94,63","829,57","297,04","147,05","444,09","454,24",0,0,0
T.E.U./A.T.S.-DUE,Enfermero Superior,T.P.,"503,08","658,22","1161,3","447,05","382,52","829,57",0,0,0,"454,24",0,0,0
T.E.U./A.T.S.-DUE,Enfermero Hosp.,T.C.,"1161,3",0,"1161,3","734,94",0,"734,94","297,04","32,39","329,43","424,52",0,0,0
T.E.U./A.T.S.-DUE,Enfermero Hosp.,T.P.,"503,08","658,22","1161,3","447,05","287,88","734,93",0,0,0,"424,52",0,0,0
