CATEGORÍA,TIPO,SUELDO INDIVIDUAL MENSUAL,C.DESTINO Ó C.SING.CATEG. INDIVIDUAL MENSUAL,C.DOCTOR Ó C.ESPECÍFICO INDIVIDUAL MENSUAL,PLANTILLA,SUELDO TOTAL ANUAL,C.DESTINO Ó C.SING.CATEG. TOTAL ANUAL,C..DOCTOR Ó C.ESPECÍFICO TOTAL ANUAL,INDIVIDUAL
Profesor Colaborador,TC,"952,12","1075,62",0,134,"1976727,32","1729596,48",0,"27659,13"
Profesor Visitante,TC,"896,09","603,44",0,17,"233787,06","123102,72",0,"20993,52"
Profesor Asociado,2,"112,02","126,54",0,9,"15620,07","13666,63",0,"3254,08"
Profesor Asociado,3,"168,02","189,82",0,49,"127560,48","111613,81",0,"4881,11"
Profesor Asociado,4,"224,03","253,09",0,40,"138839,45","121481,18",0,"6508,02"
Profesor Asociado,5,"280,03","316,36",0,34,"147516,4","129075,82",0,"8135,07"
Profesor Asociado,6,"268,83","303,71",0,244,"1073591,22","889254,1",0,"8044,45"
Profesor Ayudante Doctor,TC,"728,09","822,53","119,28",124,"1428389,75","1223930,44","177490,13","22821,05"
Profesor Ayudante,TC,"728,09","822,53",0,0,0,,0,0
Profesor Contratado Doctor,TC,"1120,14","1265,44",0,470,"8156836,56","7137076,52",0,"32540,24"
Asociados Ciencias de la Salud,3,"269,37",0,0,150,"484860,6",0,0,"3232,4"
Asociados Extranjeros,TC,"1027,1","689,95","113,51",1,"15839,02","8279,41","1362,17","25480,6"
Profesor Laboral Permanente,TC,"1541,1","923,4","105,72",2,"39751,18","22161,66","2537,2","32225,02"
Profesores de Educación Física,TC,"1527,79","409,96",0,4,"73333,76","19678,03",0,"23252,95"
Profesorado EU Enfermería Ceuta,,,,5,,,,,
Complemento Autonómico,,,,,,,,,
Personal Docente por sustitución,,,,116,,,,,
Previsión actuaciones Personal Docente e Investigador Contratado,,,,,,,,,
