Concepto egresados,Sí­/No,Frecuencia,Porcentaje,Porcentaje válido,Porcentaje acumulado
El trabajo actual es el primer empleo,Sí­,925,"27,7777777778","45,8374628345","45,8374628345"
El trabajo actual es el primer empleo,No,1093,"32,8228228228","54,1625371655",100
Realización de actividad laboral remunerada durante los estudios,Sí­,1290,"38,7387387387","38,7387387387","38,7387387387"
Realización de actividad laboral remunerada durante los estudios,No,2040,"61,2612612613","61,2612612613",100
Realización de práctica coordinada por la Universidad de Granada durante los estudios,Sí­,1808,"54,2942942943","54,2942942943","54,2942942943"
Realización de práctica coordinada por la Universidad de Granada durante los estudios,No,1522,"45,7057057057","45,7057057057",100
Trabajó después de terminar los estudios,Sí­,2642,"79,3393393393","79,3393393393","79,3393393393"
Trabajó después de terminar los estudios,No,688,"20,6606606607","20,6606606607",100
Tiene empleo en la actualidad,Sí­,2018,"60,6006006006","60,6006006006","60,6006006006"
Tiene empleo en la actualidad,No,1312,"39,3993993994","39,3993993994",100
