CONCEPTOS,CEUTA,MELILLA,TOTAL
CAPÍTULO 1º,,,
Docentes Funcionarios,1.315.654,1.810.107,3.125.760
Docentes Contratados,1.790.341,2.080.073,3.870.414
P.A.S. Funcionario,252.202,643.273,895.475
P.A.S. Laboral,635.587,575.301,1.210.887
Cargos Académicos,54.296,82.416,136.713
Cuota Patronal Seguridad Social,739.208,964.904,1.704.112
Estimación Reducción Ley 3/2012 Junta Andalucía ,-203.704,-256.401,-460.105
TOTAL CAPÍTULO 1º,4.583.583,5.899.672,10.483.256
CAPÍTULO 2º,,,
Campus edif. Teniente Ruiz Ceuta (Estructurales),136.458,,136.458
Facultad de Educación y Humanidades de Melilla( Estructurales),,186.893,186.893
Fac. Ciencias Sociales Melilla) (Estructurales),,184.820,184.820
Facultad de Ciencias de la Salud Melilla) (Estructurales),,7.250,7.250
Facultad de Educación y Humanidades (Créd. Distribuibles),55.360,28.157,83.517
Fac. Ciencias Sociales (Créditos distribuibles),,21.631,21.631
Facultad de Ciencias de la Salud (Créditos distribuibles),27.676,17.759,45.435
Dietas Reuniones Departamentales,106.434,158.994,265.428
TOTAL CAPÍTULO 2º,325.928,605.504,931.432
CAPÍTULO 6º,,,
Actuaciones Campus,,,0
TOTAL CAPÍTULO 6º,,,0
,,,
TOTAL GASTO,4.909.512,6.505.177,11.414.688
