Subprogramas,Crédito,Financiación Específica (externa),Financiación Específica (rec. Propios)
321B.1. Consejo Social,316983,316983,
"321B.2. Cultura, Cooperación y Extensión Universitaria",3261947,0,1365000
321B.3. Infraestructuras y Equipamiento,57165141,36746055,0
"321B.4. Calidad Ambiental, Bienestar y Prevención",2685000,0,2100000
321B.6. Secretaría General y de Coordinación,62000,0,0
321B.7. Recursos Informáticos,1335000,211000,100000
321B.8. Gastos Generales y de Gestión,20350950,0,775000
321B.9. Coordinación Ceuta y Melilla,55000,0,0
Financiación genérica,,,43617983
Total Programa,85232021,37274038,47957983
,,,
Subprograma 321B.1: Consejo Social,,,
Consejo Social ,316983,316983,
Total Subprograma,316983,316983,0
,,,
"Subprograma 321B.2: Cultura, Cooperación y Extensión Universitaria",,,
Gestión Vicerrect.Extensión Univ.y Cooperac. Desarrollo,20000,,
Extensión Universitaria,480000,,75000
Centro de Iniciativas de Cooperación al Desarrollo,281000,,
Editorial Universidad de Granada,362500,,250000
Centro de Actividades Deportivas,1161500,,860000
Patrimonio Cultural Mueble,20000,,
Orquesta de Cámara,60000,,
Comisión Mixta Universidad-MADOC,35000,,
A Fundaciones y otras Instituciones,623452,,
Centro Mediterráneo,218495,,180000
Total Subprograma,3261947,0,1365000
,,,
Subprograma 321B.3: Infraestructuras y Equipamiento,,,
Gestión Vicerrect.Extensión Univ.y Cooperac. Desarrollo,20000,,
Extensión Universitaria,480000,,75000
Centro de Iniciativas de Cooperación al Desarrollo,281000,,
Editorial Universidad de Granada,362500,,250000
Centro de Actividades Deportivas,1161500,,860000
Patrimonio Cultural Mueble,20000,,
Orquesta de Cámara,60000,,
Comisión Mixta Universidad-MADOC,35000,,
A Fundaciones y otras Instituciones,623452,,
Centro Mediterráneo,218495,,180000
Total Subprograma,3261947,0,1365000
,,,
"Subprograma 321B.4: Calidad Ambiental, Bienestar y Prevención",,,
Gestión Delegación Calidad Ambiental y Bienestar,20000,,
Prevención de Riesgos y Calidad Ambiental,40000,,
Actuaciones de Cooperación al Desarrollo Local,10000,,
Comedores Universitarios,1900000,,1900000
C.M. Isabel la Católica y Residencias Universitarias,371000,,200000
Gabinete Acción Social,12000,,
Actuaciones en prevención de riesgos laborales,320000,,
Calidad de Vida y Envejecimiento,12000,,
Total Subprograma,2685000,0,2100000
,,,
Subprograma 321B.6: Secretaría General y de Coordinación,,,
Secretaría General y de Coordinación,20000,,
"Documentación, Difusión y Comunicaciones",15000,,
Defensor Universitario,5000,,
Inspección de Servicios,5000,,
Unidad de Igualdad,17000,,
Total Subprograma,62000,0,0
,,,
Subprograma 321B.7: Recursos Informáticos,,,
Gestión Delegación para las TIC,20000,,
Centro de Servicios Informáticos y R.C.,364000,,
Mantenimiento Hardware,400000,,
Mantenimiento Software,240000,,
Actuaciones Tarjeta Universitaria,100000,,100000
Actuaciones TIC Udigital,,,
Oficina de Software Libre Udigital,26000,26000,
OfiWeb Udigital,35000,35000,
CEVug Udigital,150000,150000,
Total Subprograma,1335000,211000,100000
,,,
Subprograma 321B.8: Gastos Generales y de Gestión,,,
Gastos Estructurales,15500000,,
Seguros de Patrimonio y Responsabilidad Civil,250000,,
Amortización de préstamos,1127217,,
Gastos Finacieros,15000,,
Dietas y locomoción,650000,,
"Suministros, equipos de oficina y otros gastos",2808733,,775000
Total Subprograma,20350950,0,775000
,,,
Subprograma 321B.9: Coordinación Ceuta y Melilla,,,
Delegación para el Campus de Melilla,20000,,
Coordinación Melilla,20000,,
Coordinación Ceuta,15000,,
Total Subprograma,55000,0,0
