CONCEPTO/PROGRAMA,422 D,541 A,321 B,TOTALES 
CAPITULO 1º. GASTOS DE PERSONAL,,,,
110 Personal eventual,360.000,,,360.000
120 Funcionarios. Retribuciones básicas,54.285.818,,20.886,54.306.704
121 Funcionarios. Retribuciones complementarias,80.880.305,,27.724,80.908.029
130 Personal laboral. Retribuciones básicas,15.279.053,,,15.279.053
131 Personal laboral. Otras remuneraciones,41.080.139,,,41.080.139
134. Personal laboral de sustituciones,4.140.000,,,4.140.000
143 Personal colaboración social,300.000,,,300.000
145 Retribuciones Asociados (LRU),25.444,,,25.444
146 Retribuciones Asociados Ciencias de la Salud (LRU),665.683,,,665.683
150 Productividad ,12.697.696,,6.585,12.704.281
151 Gratificaciones,3.000,,,3.000
160 Cuotas sociales,30.013.784,,,30.013.784
162.00 Prestaciones. Indemnización por jubilación,4.300.000,,,4.300.000
"162,01 Formación y Perfeccionamiento del PAS",200.000,,,200.000
162.05 Plan de acción social,869.331,,,869.331
162.05 Plan de Acción Social. Beneficios en precios publicos ,840.000,,,840.000
162.07 Prestaciones. Complemento a la prestación por I.T.,800.000,,,800.000
TOTAL CAPITULO 1º,246.740.255,0,55.195,246.795.449
CAPITULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,,,,
202 Arrendamiento de edificios y otros,"20.000,00",2.000,250.000,272.000
"203 Arrendamiento de maquinaria, instalac.y utillaje","20.000,00",2.000,50.000,72.000
204 Arrendamiento de material de transporte,"2.000,00",2.000,5.000,9.000
205 Arrendamiento de mobiliario y enseres,"20.000,00",2.000,60.000,82.000
206 Arrendamiento de equipos informáticos,2.000,2.000,2.000,6.000
208 Arrendamiento de otro inmovilizado material,2.000,2.000,2.000,6.000
"212 Reparación, Mantenimiento y conservación de edificios y otros",400.000,100.000,1.326.464,1.826.464
"213 Reparación, Mantenimiento y conserv.maquinaria, instalaciones y utillaje",400.000,75.000,775.000,1.250.000
"214 Reparación, Mantenimiento y  conserv.material de transporte",2.000,2.000,20.000,24.000
"215 Reparación, Mantenimiento y conserv. mobiliario y enseres",150.000,15.000,200.000,365.000
"216 Reparación, Mantenimiento y conserv. Equipos de información",150.000,75.000,599.490,824.490
217 Mantenimiento general y optimización energética,,,1.200.000,1.200.000
220 Material de oficina,1.600.000,110.000,2.224.908,3.934.908
221 Suministros,2.550.000,125.000,6.400.000,9.075.000
222 Comunicaciones,100.000,15.000,1.100.000,1.215.000
223 Transportes,250.000,2.000,300.000,552.000
224 Primas de seguros,60.000,5.000,200.000,265.000
225 Tributos,200.000,5.000,100.000,305.000
"226 Gastos diversos(excepto subconcepto 226,01)",2.815.334,74.940,4.468.457,7.358.731
226.01 Atenciones protocolarias y de representación,300.000,10.000,250.000,560.000
227 Trabajos realizados por otras empresas,900.000,80.000,5.300.000,6.280.000
230 Dietas ,900.000,50.000,608.750,1.558.750
231  Locomoción,800.000,50.000,600.000,1.450.000
234 Asistencias a órganos colegiados ,,,0,0
TOTAL CAPITULO 2º,11.643.334,805.940,26.042.069,38.491.343
CAPITULO 3º. GASTOS FINANCIEROS,,,,
310 Intereses operaciones a corto plazo,,,15.000,15.000
"311 Gastos de emisión, modificación y cancelación",,,,0
TOTAL CAPITULO 3º,0,0,15.000,15.000
CAPITULO 4º. TRANSFERENCIAS CORRIENTES,,,,
"480,00  Becas  y ayudas propias a estudiantes",1.340.000,,,1.340.000
480.03 A Asociaciones estudiantiles,150.000,,,150.000
"480,04 Plan Propio de Prácticas en Empresas y Entidades sin fines lucro",1.150.000,,,1.150.000
"480,08 Plan Propio de Ayudas Sociales a Estudiantes",180.000,,,180.000
483 Becas Programas Europeos,10.900.000,,,10.900.000
484 Convenio con otras instituciones ,,,35.000,35.000
"485 A Fundaciones y otras instituciones(Excepto 485,03)",,,517.239,517.239
485 A Fundaciones y otras instituciones  Consejo Social,,,212.790,212.790
485.03 Al Centro Mediterráneo,,,38.495,38.495
485.05 Otros Planes de Apoyo Junta de Andalucía,1.325.000,,,1.325.000
490.11 Cuotas y contrib.organismos internacionales,30.000,,,30.000
TOTAL CAPITULO 4º,15.075.000,0,803.524,15.878.524
TOTAL OPERACIONES CORRIENTES,273.458.588,805.940,26.915.788,301.180.316
CAPITULO 6º. INVERSIONES REALES,,,,
602.00 Construcciones propias,,,14.046.908,14.046.908
"603.00 Maquinaria Centros, Departamentos y Servicios",,,500.000,500.000
603.03 Maquinaria (Equipamiento Gral.Docente),,,400.000,400.000
603.04 Maquinaria (Equipamiento de gestión),,,100.000,100.000
"605.00 Mobiliario y enseres Centros, Depart. y Servicios",,,1.476.840,1.476.840
605.03 Mobiliario y enseres (Equip.Gral.docente),,,400.000,400.000
605.04 Mobiliario y enseres (Equipamiento de gestión),,,75.000,75.000
"606,00 Sistemas procesos información. Centros, Departamentos y Servic.",,,1.000.000,1.000.000
"606,01 Sistemas procesos información. CSIRC",,,240.000,240.000
"606,02 Sistemas procesos información.Enseñanzas Virtuales",,,211.000,211.000
"606,05 Sistemas procesos  informaciòn de Gestión",,,150.000,150.000
608 Inversiones bibliográficas,400.000,3.600.000,25.000,4.025.000
622 Inversiones Infraestructura y Equipamiento Junta Andalucía,,,36.746.055,36.746.055
631 Programa FEDER 2007/13,,7.000.000,,7.000.000
635.01 Actuaciones CEI 2009,,,0,0
"635,03  Actuaciones INNPLANTA 2012",,,0,0
640 Investigación Científica,,30.061.159,,30.061.159
"641,00 Plan Propio de Investigación Científica",,3.360.000,,3.360.000
"641,01 Plan Propio Inv.Cient.Mantenimiento CIC",,,,0
"641,02 Plan Propio de Fomento de la Productividad Investigadora",,1.000.000,,1.000.000
642 Programas de Proyección Internacional y Promoción Lingüística,70.000,,,70.000
"644 Plan de Innovación, Calidad Docente y EEES.",570.000,,,570.000
645 Actuaciones Fomento de Empleo,400.000,,,400.000
648 Plan Propio de Internacionalización,715.000,,,715.000
662 Inversiones propias de reposición,,,1.700.000,1.700.000
TOTAL CAPITULO 6º,2.155.000,45.021.159,57.070.803,104.246.962
CAPITULO 7º. TRANSFERENCIAS DE CAPITAL,,,,
785.00 A  Fundación Universidad Empresa,,,,0
TOTAL CAPITULO 7º,0,0,0,0
CAPITULO 7º. TRANSFERENCIAS DE CAPITAL,,,,
"780,05  Plan Propio para Promoción del Autoempleo",250.000,,,250.000
784 Ayudas diversas Consejo Social,,,12.000,12.000
"785,09 A otras Instituciones. Parque de las Ciencias",,,106.213,106.213
TOTAL CAPITULO 7º,250.000,0,118.213,368.213
CAPITULO 8º. ACTIVOS FINANCIEROS,,,,
831.00 Anticipos y préstamos a Personal Universidad   G.A.S.,650.000,,,650.000
"831,01 Linea especial de anticipos",0,,,0
TOTAL CAPITULO 8º,650.000,0,0,650.000
CAPITULO 9º. PASIVOS FINANCIEROS,,,,
911 Amortización de préstamos a largo plazo. Sector Público,,,1.127.217,1.127.217
TOTAL CAPITULO 9º,0,0,1.127.217,1.127.217
TOTAL OPERACIONES CAPITAL,3.055.000,45.021.159,58.316.233,106.392.392
TOTAL ESTADO DE GASTOS,276.513.588,45.827.099,85.232.021,407.572.708
