"LOCALES, INMUEBLES E INSTALACIONES",½ DIA,1 DIA
1. AULAS MAGNAS,"460,00 ","765,00 "
"2. SALAS CONFERENCIAS, SEMINARIOS","310,00 ","560,00 "
3. AULA TIPO A: CAPACIDAD > 150 PERSONAS,"270,00 ","465,00 "
4. AULA TIPO B: CAPAC.ENTRE 100 Y 150 PERSON.,"200,00 ","310,00 "
5. AULA TIPO C: CAPACIDAD < 100 PERSONAS,"120,00 ","200,00 "
6. AULA INFORMÁTICA/ MULTIMEDIA: PRECIO POR PUESTO INFORMÁTICO,"8,00 Euros/puesto","16,00 Euros/puesto"
"7. SALA DE EXPOSICIONES: PRECIO POR DÍA (EN SU DEFECTO, HALL DE FACULTADES, ESPACIOS PÚBLICOS).",,"200,00 "
"8. ESPACIOS MENORES (PASILLOS PARA STANDS, ETC.)","30,00 ","55,00 "
   8.1. MES COMPLETO,"700,00 ","700,00 "
9. ESPACIOS PARA EXÁMENES Y OPOSICIONES.,"2,00 Euros/puesto","3,00 Euros/puesto"
10. CRUCERO HOSPITAL REAL.,"1.150,00 ","1.910,00 "
11. SALÓN DE CABALLEROS VEINTICUATRO (MADRAZA).,"560,00 ","770,00 "
12. SALA DE CONVALECIENTES (HOSPITAL REAL),"560,00 ","770,00 "
13. CAPILLA NEOMUDÉJAR (COLEGIO MÁXIMO),"770,00 ","1.160,00 "
14. PATIO DE LOS MÁRMOLES (HOSPITAL REAL),"400,00 ","700,00 "
