Cap.,Art.,Concp,Subconc,Denominación,Subconc,Concp,Art.,Cap.
7,Transferencias de capital,,,,,,,171.762.965
,70,De la Administración General del Estado,,,,,23.265.000,
,,700,"Del Ministerio Educación, Cultura y Deporte",,,23.170.000,,
,,,70000,Para investigación científica,18.000.000,,,
,,,70001,"Para equipam, Campus Ceuta y Melilla",270.000,,,
,,,70007,Cofinanciación Progr.Operativ.FEDER ,4.900.000,,,
,,701,De otros Ministerios,,,95.000,,
,,,70100,Para investigación científica,95.000,,,
,,702,Del Ministerio de Ciencia e Innovación,,,0,,
,,,70200, INNPLANTA Conv. 2012,,,,
,71,De Organismos Autónomos Administrativos,,,,,693.000,
,,710,De Organismos autónomos estatales,,,593.000,,
,,,71000,Del Instituto de Salud Carlos III,150.000,,,
,,,71001,Del Instituto de la Mujer,35.000,,,
,,,71002,Del Instituto Nacional Invest.Agrarias,40.000,,,
,,,71003,Del Consejo Superior de Deportes,18.000,,,
,,,71004,De la A.E.C.I.,200.000,,,
,,,71005,Del C.S.I.C.,150.000,,,
,,711,De Organismos autónomos Junta Andalucía,,,100.000,,
,,,71101,Instituto Andaluz de la Mujer,50.000,,,
,,,71102,Instituto Estadística de Andalucía,50.000,,,
,74,De empresas públicas y otros entes públicos,,,,,400.000,
,,740,De Otros Organismos,,,200.000,,
,,,74001,De otros organismos,50.000,,,
,,,74099,De Otros Entes Públicos,150.000,,,
,,741,De Universidades,,,200.000,,
,,,74100,De Universidades Andaluzas,50.000,,,
,,,74199,De Otras Universidades,150.000,,,
,75,De Comunidades Autónomas,,,,,142.224.965,
,,750,Consej.Economía Innovación Ciencia y Empleo,,,141.859.965,,
,,,75000,Para investigación científica,10.000.000,,,
,,,75001,Invers. Infraestr. y Equipam J And,44.000.000,,,
,,,75002,Cofinanciación Progr.Operativ.FEDER,2.100.000,,,
,,,75003,Proyecto Universidad Digital,211.000,,,
,,,75007,Financ Operat Investig,85.548.965,,,
,,,75008,CEI Fortalecimiento,,,,
,,751,De otras Consejerías,,,340.000,,
,,,75100,De Presidencia,25.000,,,
,,,75101,De Gobernación,25.000,,,
,,,75102,De Educación,25.000,,,
,,,75103,De Justicia y Administraciones Públic,25.000,,,
,,,75105,De Empleo,200.000,,,
,,,75106,"De Turismo, Comercio y Deporte",,,,
,,,75110,De Igualdad y Bienestar Social,20.000,,,
,,,75111,De Cultura,20.000,,,
,,759,De otras Comunidades Autónomas,,,25.000,,
,,,75909,De resto de Comunidades Autónomas,25.000,,,
,76,De Corporaciones Locales,,,,,30.000,
,,760,De Diputaciones y Cabildos Insulares,,,20.000,,
,,,76000,De la Diputación de Granada,10.000,,,
,,,76099,De otras Diputaciones Provinciales,10.000,,,
,,761,De Ayuntamientos,,,10.000,,
,,,76100,Del Ayuntamiento de Granada,10.000,,,
,77,De empresas privadas,,,,,950.000,
,,770,De entidades financieras,,,750.000,,
,,,77001,De Caja Granada,0,,,
,,,77002,Del BSCH,500.000,,,
,,,77003,De Caja Rural,250.000,,,
,,779,De otras empresas,,200.000,200.000,,
,78,De familias e instituciones sin fines de lucro,,,,,200.000,
,,781,De instituciones y fundaciones,,,200.000,,
,,,78100,Para investigación científica,200.000,,,
,79,Del exterior,,,,,4.000.000,
,,795,Otras transferencias de la Unión Europea,,,4.000.000,,
,,,79500,Para investigación científica,4.000.000,,,
