Tipo,Subtipo,Concepto,Importe
Personal docente e investigador,Funcionario,Retribuciones Básicas y Complementarias,111297284
Personal docente e investigador,Funcionario,Trienios,10299744
Personal docente e investigador,Funcionario,Indemnización por Residencia,791195
Personal docente e investigador,Funcionario,Cuota Patronal de la Seguridad Social,1734933
Personal docente e investigador,Funcionario,Complemento por Acción Social a prestación I.T.,-234400
Personal docente e investigador,Contratado,Retribuciones Básicas y Complementarias,27603704
Personal docente e investigador,Contratado,Trienios,1840177
Personal docente e investigador,Contratado,Indemnización por Residencia,1337440
Personal docente e investigador,Contratado,Cuota Patronal de la Seguridad Social,8471487
Personal docente e investigador,Contratado,Complemento por Acción Social a prestación I.T.,-37500
Personal de administración y servicios,Funcionario,Retribuciones Básicas y Complementarias,31240453
Personal de administración y servicios,Funcionario,Trienios,2229709
Personal de administración y servicios,Funcionario,Indemnización por Residencia,182371
Personal de administración y servicios,Funcionario,Cuota Patronal de la Seguridad Social,8610135
Personal de administración y servicios,Funcionario,Complemento por Acción Social a prestación I.T.,-93750
Personal de administración y servicios,Laboral,"Sueldo, Trienios y Complementos",34816886
Personal de administración y servicios,Laboral,Indemnización por Residencia,165222
Personal de administración y servicios,Laboral,Cuota Patronal de la Seguridad Social,11757943
Personal de administración y servicios,Laboral,Complemento por Acción Social a prestación I.T.,-384350
Otros,Otros,Cargos Académicos,2792972
Otros,Otros,Consejo Social,58812
Otros,Otros,Tribunales Pruebas de Acceso,225000
Otros,Otros,Coordinación Pruebas de Acceso,15000
Otros,Otros,Productividad y Artículo 32 Estatutos,3000
Otros,Otros,Personal de Colaboración Social INEM,300000
Otros,Otros,Plan de Formación del PAS,160000
Otros,Otros,Plan de Acción Social,869331
Otros,Otros,Indemnización e incentivos por Jubilación,3500000
Otros,Otros,Beneficios en Precios Públicos Personal Universidad,840000
Otros,Otros,Complemento a la Prestación por I.T.,730000
Otros,Otros,Estimación Reducción Ley 3/2012 Junta Andalucía ,0
