CARGO,Nº,INDIVIDUAL MENSUAL,INDIVIDUAL ANUAL
Rector,1,1424.8,19947.2
Vicerrector,9,644.12,9017.68
Secretario General,1,644.12,9017.68
Inspector de Servicios,1,644.12,9017.68
Defensor Universitario,1,644.12,9017.68
Cargos asimilados a Vicerrector,4,644.12,9017.68
Decano de Facultad,22,502.22,7031.08
Director de Escuela Técnica Superior,4,502.22,7031.08
Cargos asimilados a Decano de Facultad,24,502.22,7031.08
Director de Departamento,123,363.41,5087.74
Cargos asimilados a Director de Departamento,39,363.41,5087.74
Vicedecano de Facultad,88,271.01,3794.14
Subdirector de Escuela Técnica Superior,19,271.01,3794.14
Secretario de Facultad ,21,271.01,3794.14
Secretario Escuela Técnica Superior,4,271.01,3794.14
Cargos asimilados a Vicedecano de Facultad,25,271.01,3794.14
Director de Instituto Universitario,14,363.41,5087.74
Cargos asimilados a Director de Instituto Univ.,2,363.41,5087.74
Secretario de Departamento,123,195.36,2735.04
Coordinador Masteres Oficiales y Progr.Doctorado,115,195.36,2735.04
Cargos asimilados a Secretario de Departamento,91,195.36,2735.04
Ponentes Bachillerato,26,141.31,1978.34
