ESCALA,GRUPO,PLANTILLA,SUELDO MENSUAL,TOTAL ANUAL INDIVIDUAL,TOTAL ANUAL
Técnica de Universidad,A1,44,1109.05,14677.32,645802.08
Técnica de Gestión de Universidad (Informática),A1,37,1109.05,14677.32,543060.84
Facultativo de Biblioteca de Universidad,A1,36,1109.05,14677.32,528383.52
Cuerpos y Escalas de otros Organismos,A1,2,1109.05,14677.32,29354.64
Técnica Profesional ,A1,41,1109.05,14677.32,601770.12
Gestión de Universidad,A2,130,958.98,12906.52,1677847.6
Gestión de Universidad (Informática),A2,31,958.98,12906.52,400102.12
Ayudante de Biblioteca de Universidad,A2,19,958.98,12906.52,245223.88
Gestión Profesional ,A2,4,958.98,12906.52,51626.08
Administrativa de Universidad,C1,488,720.02,9884.84,4823801.92
Administrativa de Universidad (Informática),C1,8,720.02,9884.84,79078.72
Cuerpos y Escalas de otros Organismos,C1,13,720.02,9884.84,128502.92
Auxiliar de Universidad,C2,29,599.25,8378.58,242978.82
Auxiliar de Universidad Interino,C2,98,599.25,8378.58,821100.84
