NIVEL,TIPO [1],C. DESTINO (INDIVIDUAL MENSUAL),C. ESPECÍF (INDIVIDUAL MENSUAL),C.P.N.A. (INDIVIDUAL MENSUAL),C.PRODUCT. (INDIV. ANUAL),C. HOMOLOG. (INDIV. ANUAL),PLANTILLA,TOTAL ANUAL INDIVIDUAL,TOTAL ANUAL
30,LD,968.75,3688.28,No especificado,,932.67,1,66131.09,66131.09
29,1,868.93,1718.84,No especificado,5155,932.67,8,42316.45,338531.6
29,2,868.93,1094.52,No especificado,5155,932.67,1,33575.97,33575.97
27,2,795.85,1094.52,No especificado,4423.39,932.67,94,31821.24,2991196.56
26,2,698.2,1094.52,97.65,4423.39,932.67,24,31625.94,759022.56
26,3,698.2,875.63,No especificado,4423.39,932.67,2,27389.68,54779.36
25,3,619.47,875.63,No especificado,3551.13,932.67,96,25415.2,2439859.2
23,4,546.41,665.85,No especificado,3231.79,932.67,61,21136.1,1289302.1
22,2,509.84,1094.52,No especificado,3231.79,932.67,1,26625.5,26625.5
22,3,509.84,875.63,109.63,3231.79,932.67,14,24876.6,348272.4
22,4,509.84,665.85,36.57,3231.79,932.67,121,21062.96,2548618.16
22,5,509.84,552.74,No especificado,3231.79,932.67,167,19040.58,3179776.86
22,7,509.84,437.81,No especificado,3231.79,932.67,1,17431.56,17431.56
20,5,439.7,552.74,No especificado,2775.77,932.67,206,17602.6,3626135.6
20,7,439.7,437.81,No especificado,2775.77,932.67,1,15993.58,15993.58
19,7,417.25,437.81,No especificado,2775.77,932.67,2,15679.28,31358.56
18,6,394.79,456.05,No especificado,2577.47,932.67,11,15421.9,169640.9
17,7,372.33,437.81,No especificado,2577.47,932.67,43,14852.1,638640.3
15,7,327.44,346.64,No especificado,2577.47,932.67,1,12947.26,12947.26
15,8,327.44,346.64,No especificado,2577.47,932.67,28,12947.26,362523.28
15,8,327.44,346.64,No especificado,2577.47,932.67,98,12947.26,1268831.48
