Capí­tulo,Art.,Denominación,Clasificación Económica,Artículos,Financiación No afectada,Financiación Afectada o finalista
3,30,"Tasas, precios públicos y otros ingresos", Tasas,2200000,2200000,0
3,31,"Tasas, precios públicos y otros ingresos", Precios públicos,41571500,41571500,0
3,32,"Tasas, precios públicos y otros ingresos", Ingresos por prestación de servicios,6535000,1424250,5110750
3,33,"Tasas, precios públicos y otros ingresos", Venta de bienes,150000,0,150000
3,38,"Tasas, precios públicos y otros ingresos", Reintegro de operaciones corrientes,1700000,1700000,0
3,39,"Tasas, precios públicos y otros ingresos", Ingresos diversos,165000,0,
4,40,Transferencias corrientes, De la Administración General del Estado,12305077,8217000,4088077
4,41,Transferencias corrientes, De Organismos autónomos administrativos,0,0,0
4,42,Transferencias corrientes, De la Seguridad Social,1700000,1700000,0
4,44,Transferencias corrientes, De empresas públicas y otros entes públicos,5000,,5000
4,45,Transferencias corrientes, De Comunidades Autónomas,157744220,151645377,6098843
4,46,Transferencias corrientes, De Corporaciones Locales,106200,0,106200
4,47,Transferencias corrientes, De empresas privadas,814000,754000,60000
4,48,Transferencias corrientes, De Familias e Instituciones sin fines de lucro,81000,0,81000
4,49,Transferencias corrientes, Del exterior,3749541,0,3749541
5,52,Ingresos patrimoniales, Intereses de depósitos,24500,24500,0
5,54,Ingresos patrimoniales, Rentas de bienes inmuebles,552000,226800,325200
5,55,Ingresos patrimoniales, Producto de concesiones y aprov.especiales,752500,200000,552500
5,59,Ingresos patrimoniales, Otros ingresos patrimoniales ,21000,0,21000
7,70,Transferencias de capital, De la Administración General del Estado,18468140,1274000,17194140
7,71,Transferencias de capital, De Organismos autónomos administrativos,265000,0,265000
7,74,Transferencias de capital, De empresas públicas y otros entes públicos,163040,0,163400
7,75,Transferencias de capital, De Comunidades Autónomas,131445316,109386978,22053338
7,76,Transferencias de capital, De Corporaciones Locales,20000,0,20000
7,77,Transferencias de capital, De empresas privadas,584400,350000,234400
7,78,Transferencias de capital, De Familias e Instituciones sin fines de lucro,520000,0,520000
7,79,Transferencias de capital, Del exterior,7207926,1000000,6207926
8,82,Activos financieros, Reintegro de préstamos concedidos,650000,0,650000
8,87,Activos financieros, Remanente de Tesorería,0,0,0
9,92,Pasivos financieros, Reintegro de préstamos concedidos,1450000,,1450000
