CAPÍTULO,ARTÍCULO,CONCEPTO,DENOMINACIÓN,IMPORTES
Capítulo 1. Gastos de personal,Artículo 11. Personal eventual,110,Personal eventual,360000
Capítulo 1. Gastos de personal,Artículo 12. Funcionarios,120,Funcionarios. Retribuciones básicas,54285818
Capítulo 1. Gastos de personal,Artículo 12. Funcionarios,121,Funcionarios. Retribuciones complementarias,80880305
Capítulo 1. Gastos de personal,Artículo 13. Laborales,130,Personal laboral,15279053
Capítulo 1. Gastos de personal,Artículo 13. Laborales,131,Personal labora. Otras remuneraciones,41080139
Capítulo 1. Gastos de personal,Artículo 13. Laborales,134,Personal laboral eventual,4140000
Capítulo 1. Gastos de personal,Artículo 14. Otro Personal,143,Personal colaboración social,300000
Capítulo 1. Gastos de personal,Artículo 14. Otro Personal,145,Retribuciones Asociados (LRU),25444
Capítulo 1. Gastos de personal,Artículo 14. Otro Personal,146,Retribuciones Asociados Ciencias de la Salud (LRU),665683
Capítulo 1. Gastos de personal,Artículo 15. Incentivos al rendimiento,150,Productividad ,12697696
Capítulo 1. Gastos de personal,Artículo 15. Incentivos al rendimiento,151,Gratificaciones,3000
Capítulo 1. Gastos de personal,"Artículo 16. Cuotas, prestaciones y gastos sociales",160,Cuotas Sociales,30013784
Capítulo 1. Gastos de personal,"Artículo 16. Cuotas, prestaciones y gastos sociales",162,Prestaciones y gastos sociales del personal,7009331
Capítulo 2. Gastos en bienes corrientes y servicios,Artículo 20. Arrendamientos y cánones,202,Arrendt edificios y otros,20000
Capítulo 2. Gastos en bienes corrientes y servicios,Artículo 20. Arrendamientos y cánones,203,"Arrendt maquinaria,instalaciones y utillaje",20000
Capítulo 2. Gastos en bienes corrientes y servicios,Artículo 20. Arrendamientos y cánones,204,Arrendt material de transporte,2000
Capítulo 2. Gastos en bienes corrientes y servicios,Artículo 20. Arrendamientos y cánones,205,Arrendt mobiliario y enseres,20000
Capítulo 2. Gastos en bienes corrientes y servicios,Artículo 20. Arrendamientos y cánones,206,Arrendt equipo de informática,2000
Capítulo 2. Gastos en bienes corrientes y servicios,Artículo 20. Arrendamientos y cánones,208,Arrendt otro inmovilizado material,2000
Capítulo 2. Gastos en bienes corrientes y servicios,"Artículo 21. Reparaciones, mantenimiento y conservación",212,Edificios y otras construcciones,400000
Capítulo 2. Gastos en bienes corrientes y servicios,"Artículo 21. Reparaciones, mantenimiento y conservación",213,"Maquinarias, instalaciones y utillaje",400000
Capítulo 2. Gastos en bienes corrientes y servicios,"Artículo 21. Reparaciones, mantenimiento y conservación",214,Elementosl de transporte,2000
Capítulo 2. Gastos en bienes corrientes y servicios,"Artículo 21. Reparaciones, mantenimiento y conservación",215,Mobiliario y enseres,150000
Capítulo 2. Gastos en bienes corrientes y servicios,"Artículo 21. Reparaciones, mantenimiento y conservación",216,Sistemas para procesos de información,150000
Capítulo 2. Gastos en bienes corrientes y servicios,"Artículo 22. Material, suministros y otros",220,Material de orficina,1600000
Capítulo 2. Gastos en bienes corrientes y servicios,"Artículo 22. Material, suministros y otros",221,Suministros,2550000
Capítulo 2. Gastos en bienes corrientes y servicios,"Artículo 22. Material, suministros y otros",222,Comunicaciones,100000
Capítulo 2. Gastos en bienes corrientes y servicios,"Artículo 22. Material, suministros y otros",223,Transportes,250000
Capítulo 2. Gastos en bienes corrientes y servicios,"Artículo 22. Material, suministros y otros",224,Primas de seguros,60000
Capítulo 2. Gastos en bienes corrientes y servicios,"Artículo 22. Material, suministros y otros",225,Tributos,200000
Capítulo 2. Gastos en bienes corrientes y servicios,"Artículo 22. Material, suministros y otros",226,Gastos diversos,2815334
Capítulo 2. Gastos en bienes corrientes y servicios,"Artículo 22. Material, suministros y otros","226,01",Atenciones protocolarias y de representación,300000
Capítulo 2. Gastos en bienes corrientes y servicios,"Artículo 22. Material, suministros y otros",227,Trabajos realizados por otras empresas,900000
Capítulo 2. Gastos en bienes corrientes y servicios,Artículo 23. Indemnizaciones por razón del servicio,230,Dietas,900000
Capítulo 2. Gastos en bienes corrientes y servicios,Artículo 23. Indemnizaciones por razón del servicio,231,Locomoción,800000
Capítulo 4. Transferencias corrientes,Artículo 48. A Familias e instituciones sin fines de lucro,480,Becas y ayudas propias a estudiantes,1340000
Capítulo 4. Transferencias corrientes,Artículo 48. A Familias e instituciones sin fines de lucro,"480,03",A Asociaciones estudiantiles,150000
Capítulo 4. Transferencias corrientes,Artículo 48. A Familias e instituciones sin fines de lucro,"480,04",Plan Propio Prácticas en Empresas y Entidades,1150000
Capítulo 4. Transferencias corrientes,Artículo 48. A Familias e instituciones sin fines de lucro,"480,08",Plan Propio de Ayudas Sociales a Estudiantes,180000
Capítulo 4. Transferencias corrientes,Artículo 48. A Familias e instituciones sin fines de lucro,483,Becas programas europeos,10900000
Capítulo 4. Transferencias corrientes,Artículo 48. A Familias e instituciones sin fines de lucro,485xx,Otros Planes de Apoyo Junta de Andalucía,1325000
Capítulo 4. Transferencias corrientes,Artículo 48. A Familias e instituciones sin fines de lucro,"490,11",Cuotas y contribuc.organismos internacionales,30000
Capítulo 6. Inversiones reales,Artículo 60. Inversiones de carácter material,608,Inversiones bibliográficas,400000
Capítulo 6. Inversiones reales,Artículo 64. Inversiones de carácter inmaterial,642,Programas de movilidad y promoción lingüística,70000
Capítulo 6. Inversiones reales,Artículo 64. Inversiones de carácter inmaterial,644,"Plan de Innovación, Calidad Docente y EEES",570000
Capítulo 6. Inversiones reales,Artículo 64. Inversiones de carácter inmaterial,645,Actuaciones Fomento de empleo,400000
Capítulo 6. Inversiones reales,Artículo 64. Inversiones de carácter inmaterial,648,Plan Propio de Internalización,715000
Capítulo 7. Transferencias de capital,Artículo 78. A Familias e Instituciones sin fines de lucro,"780,05",Plan Propio para Promoción del Autoempleo,250000
Capítulo 8. Activos financieros,Artículo 83. Concesión de préstamos,831,Anticipos y préstamos a personal Universidad,650000
Capítulo 8. Activos financieros,Artículo 83. Concesión de préstamos,"831,01",Línea especial de anticipos,0
