CAPITULO,CONCEPTO/PROGRAMA,422 D,541 A,321 B,TOTALES 
Capitulo 1. Gastos de personal,110 Personal eventual,360000,0,0,360000
Capitulo 1. Gastos de personal,120 Funcionarios. Retribuciones básicas,54285818,0,20886,54306704
Capitulo 1. Gastos de personal,121 Funcionarios. Retribuciones complementarias,80880305,0,27724,80908029
Capitulo 1. Gastos de personal,130 Personal laboral. Retribuciones básicas,15279053,0,0,15279053
Capitulo 1. Gastos de personal,131 Personal laboral. Otras remuneraciones,41080139,0,0,41080139
Capitulo 1. Gastos de personal,134 Personal laboral de sustituciones,4140000,0,0,4140000
Capitulo 1. Gastos de personal,143 Personal colaboración social,300000,0,0,300000
Capitulo 1. Gastos de personal,145 Retribuciones Asociados (LRU),25444,0,0,25444
Capitulo 1. Gastos de personal,146 Retribuciones Asociados Ciencias de la Salud (LRU),665683,0,0,665683
Capitulo 1. Gastos de personal,150 Productividad ,12697696,0,6585,12704281
Capitulo 1. Gastos de personal,151 Gratificaciones,3000,0,0,3000
Capitulo 1. Gastos de personal,160 Cuotas sociales,30013784,0,0,30013784
Capitulo 1. Gastos de personal,162.00 Prestaciones. Indemnización por jubilación,4300000,0,0,4300000
Capitulo 1. Gastos de personal,162.01 Formación y Perfeccionamiento del PAS,200000,0,0,200000
Capitulo 1. Gastos de personal,162.05 Plan de acción social,869331,0,0,869331
Capitulo 1. Gastos de personal,162.05 Plan de Acción Social. Beneficios en precios publicos ,840000,0,0,840000
Capitulo 1. Gastos de personal,162.07 Prestaciones. Complemento a la prestación por I.T.,800000,0,0,800000
Capitulo 2. Gastos en bienes corrientes y servicios,202 Arrendamiento de edificios y otros,20000,2000,250000,272000
Capitulo 2. Gastos en bienes corrientes y servicios,"203 Arrendamiento de maquinaria, instalac.y utillaje",20000,2000,50000,72000
Capitulo 2. Gastos en bienes corrientes y servicios,204 Arrendamiento de material de transporte,2000,2000,5000,9000
Capitulo 2. Gastos en bienes corrientes y servicios,205 Arrendamiento de mobiliario y enseres,20000,2000,60000,82000
Capitulo 2. Gastos en bienes corrientes y servicios,206 Arrendamiento de equipos informáticos,2000,2000,2000,6000
Capitulo 2. Gastos en bienes corrientes y servicios,208 Arrendamiento de otro inmovilizado material,2000,2000,2000,6000
Capitulo 2. Gastos en bienes corrientes y servicios,"212 Reparación, Mantenimiento y conservación de edificios y otros",400000,100000,1326464,1826464
Capitulo 2. Gastos en bienes corrientes y servicios,"213 Reparación, Mantenimiento y conserv.maquinaria, instalaciones y utillaje",400000,75000,775000,1250000
Capitulo 2. Gastos en bienes corrientes y servicios,"214 Reparación, Mantenimiento y  conserv.material de transporte",2000,2000,20000,24000
Capitulo 2. Gastos en bienes corrientes y servicios,"215 Reparación, Mantenimiento y conserv. mobiliario y enseres",150000,15000,200000,365000
Capitulo 2. Gastos en bienes corrientes y servicios,"216 Reparación, Mantenimiento y conserv. Equipos de información",150000,75000,599490,824490
Capitulo 2. Gastos en bienes corrientes y servicios,217 Mantenimiento general y optimización energética,0,0,1200000,1200000
Capitulo 2. Gastos en bienes corrientes y servicios,220 Material de oficina,1600000,110000,2224908,3934908
Capitulo 2. Gastos en bienes corrientes y servicios,221 Suministros,2550000,125000,6400000,9075000
Capitulo 2. Gastos en bienes corrientes y servicios,222 Comunicaciones,100000,15000,1100000,1215000
Capitulo 2. Gastos en bienes corrientes y servicios,223 Transportes,250000,2000,300000,552000
Capitulo 2. Gastos en bienes corrientes y servicios,224 Primas de seguros,60000,5000,200000,265000
Capitulo 2. Gastos en bienes corrientes y servicios,225 Tributos,200000,5000,100000,305000
Capitulo 2. Gastos en bienes corrientes y servicios,"226 Gastos diversos(excepto subconcepto 226,01)",2815334,74940,4468457,7358731
Capitulo 2. Gastos en bienes corrientes y servicios,226.01 Atenciones protocolarias y de representación,300000,10000,250000,560000
Capitulo 2. Gastos en bienes corrientes y servicios,227 Trabajos realizados por otras empresas,900000,80000,5300000,6280000
Capitulo 2. Gastos en bienes corrientes y servicios,230 Dietas ,900000,50000,608750,1558750
Capitulo 2. Gastos en bienes corrientes y servicios,231 Locomoción,800000,50000,600000,1450000
Capitulo 2. Gastos en bienes corrientes y servicios,234 Asistencias a órganos colegiados ,0,0,0,0
Capitulo 3. Gastos financieros,310 Intereses operaciones a corto plazo,0,0,15000,15000
Capitulo 3. Gastos financieros,"311 Gastos de emisión, modificación y cancelación",0,0,0,0
Capitulo 4. Transferencias corrientes,480 Becas  y ayudas propias a estudiantes,1340000,0,0,1340000
Capitulo 4. Transferencias corrientes,480.03 A Asociaciones estudiantiles,150000,0,0,150000
Capitulo 4. Transferencias corrientes,480.04 Plan Propio de Prácticas en Empresas y Entidades sin fines lucro,1150000,0,0,1150000
Capitulo 4. Transferencias corrientes,480.08 Plan Propio de Ayudas Sociales a Estudiantes,180000,0,0,180000
Capitulo 4. Transferencias corrientes,483 Becas Programas Europeos,10900000,0,0,10900000
Capitulo 4. Transferencias corrientes,484 Convenio con otras instituciones ,0,0,35000,35000
Capitulo 4. Transferencias corrientes,"485 A Fundaciones y otras instituciones(Excepto 485,03)",0,0,517239,517239
Capitulo 4. Transferencias corrientes,485 A Fundaciones y otras instituciones  Consejo Social,0,0,212790,212790
Capitulo 4. Transferencias corrientes,485.03 Al Centro Mediterráneo,0,0,38495,38495
Capitulo 4. Transferencias corrientes,485.05 Otros Planes de Apoyo Junta de Andalucía,1325000,0,0,1325000
