CÓDIGO,TITULO,TASA RENDIMIENTO,TASA EXITO
200,GRADUADO/A EN BIOLOGÍA,"72,57","82,68"
201,GRADO EN ODONTOLOGÍA,"75,58","85,5"
202,GRADUADO/A EN NUTRICIÓN HUMANA Y DIETÉTICA,"84,97","92,61"
204,GRADUADO/A EN FARMACIA,"64,13","74,72"
206,GRADUADO/A EN CIENCIAS AMBIENTALES,"48,61","63,44"
207,GRADUADO/A EN ENFERMERÍA,"81,88","93,46"
208,GRADUADO/A EN GEOGRAFÍA Y GESTIÓN DEL TERRITORIO,"56,38","74,13"
209,GRADUADO/A EN ARQUITECTURA,"63,67","75,95"
212,GRADUADO/A EN CIENCIAS POLÍTICAS Y DE LA ADMINISTRACIÓN,"59,5","73,41"
213,GRADUADO/A EN CIENCIAS POLÍTICAS Y DE LA ADMINIST. Y DERECHO,"63,51","81,18"
214,GRADUADO/A EN SOCIOLOGÍA,"56,41","72,13"
220,GRADUADO/A EN INGENIERÍA QUÍMICA,"44,98","61,67"
221,GRADUADO/A EN INGENIERÍA DE TECNOLOGÍAS DE TELECOMUNICACIÓN,"65,34","77,31"
222,GRADUADO/A EN MEDICINA,"93,63","96,48"
223,GRADUADO/A EN ESTADÍSTICA,"42,79","58,78"
227,GRADUADO/A EN COMUNICACIÓN AUDIOVISUAL,"83,49","89,8"
228,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS-DERECHO,"76,15","85,1"
230,GRADUADO/A EN EDIFICACIÓN,"57,11","71,87"
231,GRADUADO/A EN INFORMACIÓN Y DOCUMENTACIÓN,"64,25",75
233,GRADUADO/A EN FINANZAS Y CONTABILIDAD,"76,39","82,96"
235,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,"80,4","86,78"
236,GRADUADO/A EN MARKETING E INVESTIGACIÓN DE MERCADOS,"72,98","79,8"
237,GRADUADO/A EN INGENIERÍA CIVIL,"72,86","82,21"
238,GRADUADO/A EN TURISMO,"74,29","83,2"
239,GRADUADO/A EN ECONOMÍA,"57,55","67,03"
241,GRADUADO/A EN FISIOTERAPIA,"84,74","97,01"
242,GRADUADO/A EN DERECHO,"67,05","76,16"
243,GRADUADO/A EN TERAPIA OCUPACIONAL,"79,33","90,24"
244,GRADUADO/A EN EDUCACIÓN SOCIAL,"90,88","96,6"
249,GRADUADO/A EN TRABAJO SOCIAL,"88,49","93,95"
252,GRADUADO/A EN TRADUCCIÓN E INTERPRETACIÓN,"86,32","93,43"
257,GRADUADO/A EN EDUCACIÓN PRIMARIA,"83,45","89,23"
258,GRADUADO/A EN EDUCACIÓN INFANTIL,"90,68","97,37"
259,GRADUADO/A EN RELACIONES LABORALES Y RECURSOS HUMANOS,"64,72","76,04"
260,GRADUADO/A EN BELLAS ARTES,"82,68","93,43"
261,GRADUADO/A EN BIOQUÍMICA,"69,68","75,69"
263,GRADUADO/A EN FILOSOFÍA,"54,1","77,07"
264,GRADUADO/A EN PSICOLOGÍA,"84,89","90,98"
265,GRADUADO/A EN CONSERVACIÓN Y RESTAURACIÓN DE BIENES CULTURAL,"83,03","91,75"
267,GRADUADO/A EN FÍSICA,"51,42","71,39"
268,GRADUADO/A EN GEOLOGÍA,"39,81","58,49"
270,GRADUADO/A EN MATEMÁTICAS,"43,59","55,24"
273,GRADUADO/A EN LENGUAS MODERNAS Y SUS LITERATURAS,"70,33","83,79"
276,GRADUADO/A EN FILOLOGÍA CLÁSICA,"52,45","68,68"
277,GRADUADO/A EN ESTUDIOS FRANCESES,"54,71","67,74"
279,GRADUADO/A EN ESTUDIOS ÁRABES E ISLÁMICOS,"48,77","68,53"
283,GRADUADO/A EN FILOLOGÍA HISPÁNICA,"68,26","80,1"
285,GRADUADO/A EN ESTUDIOS INGLESES,77,"82,96"
286,GRADUADO/A EN LOGOPEDIA,"77,57","87,45"
287,GRADUADO/A EN ÓPTICA Y OPTOMETRÍA,"67,59","72,26"
288,GRADUADO/A EN CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE,"81,59","88,78"
290,GRADUADO/A EN LITERATURAS COMPARADAS,"49,51","79,69"
291,GRADUADO/A EN QUÍMICA,"48,83","62,75"
292,GRADUADO/A EN HISTORIA,"54,14","75,92"
293,GRADUADO/A EN HISTORIA DEL ARTE,"59,12","70,91"
296,GRADUADO/A EN INGENIERÍA INFORMÁTICA,"33,45","53,5"
298,GRADUADO/A EN PEDAGOGÍA,"80,77","88,48"
299,GRADUADO/A EN HISTORIA Y CIENCIAS DE LA MÚSICA,"57,62","82,1"
407,GRADUADO/A EN ENFERMERÍA (CEUTA),"69,42","82,7"
433,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (CEUTA),"59,78","83,27"
457,GRADUADO/A EN EDUCACIÓN PRIMARIA (CEUTA),"71,02","86,83"
458,GRADUADO/A EN EDUCACIÓN INFANTIL (CEUTA),"64,34","77,57"
496,GRADUADO/A EN INGENIERÍA INFORMÁTICA (CEUTA),"21,64","56,06"
507,GRADUADO/A EN ENFERMERÍA (MELILLA),"77,57","81,13"
533,GRADUADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (MELILLA),"43,86","71,01"
535,DIPLOMADO EN CIENCIAS EMPRESARIALES (MELILLA),"56,34","81,4"
537,DIPLOMADO EN RELACIONES LABORALES (MELILLA),"59,99","93,21"
538,DIPLOMADO EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA (MELILLA),"59,98","90,48"
539,GRADUADO/A EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA (MELILLA),"15,03","36,51"
557,GRADUADO/A EN EDUCACIÓN PRIMARIA (MELILLA),"62,35","74,43"
558,GRADUADO/A EN EDUCACIÓN INFANTIL (MELILLA),"66,82","79,44"
559,GRADUADO/A EN RELACIONES LABORALES Y RECURSOS HUMANOS (MEL.),"32,22","59,18"
