,Web of Science Documents,Times Cited,Cites per Document (Impact),% Documents Cited,Impact Relative to Subject Area,Impact Relative to Institution,% Documents in Subject Area,% Documents in Institution,% Documents Cited Relative to Subject Area,% Documents Cited Relative to Institution
ACOUSTICS,22,54,2.45,63.64,0.7,0.4,0.11,0.23,0.97,0.94
AGRICULTURAL ECONOMICS & POLICY,1,5,5,100,2.4,0.82,0.03,0.01,1.92,1.48
AGRICULTURAL ENGINEERING,17,135,7.94,88.24,1.3,1.3,0.11,0.18,1.24,1.31
"AGRICULTURE, DAIRY & ANIMAL SCIENCE",9,12,1.33,55.56,0.48,0.22,0.03,0.09,0.95,0.82
"AGRICULTURE, MULTIDISCIPLINARY",61,292,4.79,77.05,1.63,0.78,0.18,0.64,1.34,1.14
AGRONOMY,22,112,5.09,68.18,1.69,0.83,0.05,0.23,1.15,1.01
ALLERGY,7,47,6.71,71.43,0.95,1.1,0.06,0.07,0.96,1.06
ANATOMY & MORPHOLOGY,19,21,1.11,47.37,0.31,0.18,0.2,0.2,0.73,0.7
ANDROLOGY,4,9,2.25,25,0.55,0.37,0.18,0.04,0.35,0.37
ANESTHESIOLOGY,7,124,17.71,85.71,3.35,2.9,0.04,0.07,1.2,1.27
ANTHROPOLOGY,32,52,1.63,53.13,0.57,0.27,0.2,0.33,0.94,0.79
ARCHAEOLOGY,31,47,1.52,45.16,0.78,0.25,0.32,0.32,0.92,0.67
ARCHITECTURE,4,0,0,0,0,0,0.1,0.04,0,0
AREA STUDIES,6,3,0.5,16.67,0.54,0.08,0.07,0.06,0.46,0.25
ART,28,5,0.18,7.14,0.53,0.03,0.44,0.29,0.43,0.11
ASIAN STUDIES,3,0,0,0,0,0,0.07,0.03,0,0
ASTRONOMY & ASTROPHYSICS,295,"5,925",20.08,84.41,2.12,3.29,0.34,3.07,1.05,1.25
AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY,7,13,1.86,57.14,0.52,0.3,0.07,0.07,0.84,0.85
AUTOMATION & CONTROL SYSTEMS,19,73,3.84,73.68,0.93,0.63,0.05,0.2,1.18,1.09
BEHAVIORAL SCIENCES,95,425,4.47,74.74,0.68,0.73,0.32,0.99,0.96,1.11
BIOCHEMICAL RESEARCH METHODS,118,764,6.47,74.58,0.9,1.06,0.15,1.23,0.97,1.11
BIOCHEMISTRY & MOLECULAR BIOLOGY,277,"2,132",7.7,79.78,0.84,1.26,0.1,2.88,1,1.18
BIODIVERSITY CONSERVATION,31,244,7.87,77.42,1.56,1.29,0.16,0.32,1.13,1.15
BIOLOGY,49,251,5.12,79.59,0.98,0.84,0.1,0.51,1.22,1.18
BIOPHYSICS,65,517,7.95,83.08,1.12,1.3,0.11,0.68,1.06,1.23
BIOTECHNOLOGY & APPLIED MICROBIOLOGY,136,692,5.09,75,0.79,0.83,0.11,1.42,1.04,1.11
BUSINESS,58,90,1.55,39.66,0.43,0.25,0.22,0.6,0.66,0.59
"BUSINESS, FINANCE",17,25,1.47,35.29,0.48,0.24,0.1,0.18,0.61,0.52
CARDIAC & CARDIOVASCULAR SYSTEMS,27,255,9.44,66.67,1.34,1.55,0.03,0.28,0.95,0.99
CELL & TISSUE ENGINEERING,20,86,4.3,60,0.42,0.7,0.2,0.21,0.76,0.89
CELL BIOLOGY,110,826,7.51,76.36,0.62,1.23,0.09,1.15,0.95,1.13
"CHEMISTRY, ANALYTICAL",236,"1,475",6.25,72.88,1.09,1.02,0.24,2.46,1,1.08
"CHEMISTRY, APPLIED",129,729,5.65,82.95,1.15,0.92,0.21,1.34,1.16,1.23
"CHEMISTRY, INORGANIC & NUCLEAR",110,638,5.8,81.82,1.12,0.95,0.17,1.15,1.14,1.21
"CHEMISTRY, MEDICINAL",75,399,5.32,74.67,1,0.87,0.11,0.78,1.01,1.11
"CHEMISTRY, MULTIDISCIPLINARY",197,"1,538",7.81,80.71,0.81,1.28,0.08,2.05,1.13,1.2
"CHEMISTRY, ORGANIC",80,606,7.58,81.25,1.24,1.24,0.08,0.83,1.07,1.2
"CHEMISTRY, PHYSICAL",306,"2,008",6.56,81.7,0.8,1.07,0.13,3.19,1.04,1.21
CLASSICS,5,0,0,0,0,0,0.16,0.05,0,0
CLINICAL NEUROLOGY,68,524,7.71,75,1.28,1.26,0.05,0.71,1.06,1.11
COMMUNICATION,22,24,1.09,40.91,0.5,0.18,0.17,0.23,0.78,0.61
"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",383,"2,950",7.7,70.23,1.93,1.26,0.77,3.99,1.1,1.04
"COMPUTER SCIENCE, CYBERNETICS",20,179,8.95,75,2.96,1.46,0.33,0.21,1.34,1.11
"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",33,106,3.21,63.64,1.35,0.53,0.16,0.34,1.26,0.94
"COMPUTER SCIENCE, INFORMATION SYSTEMS",138,861,6.24,68.84,2.15,1.02,0.28,1.44,1.28,1.02
"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",217,"1,417",6.53,65.9,1.48,1.07,0.36,2.26,0.99,0.98
"COMPUTER SCIENCE, SOFTWARE ENGINEERING",72,159,2.21,50,0.95,0.36,0.2,0.75,0.94,0.74
"COMPUTER SCIENCE, THEORY & METHODS",85,674,7.93,64.71,3.22,1.3,0.27,0.88,1.21,0.96
CONSTRUCTION & BUILDING TECHNOLOGY,54,132,2.44,59.26,0.89,0.4,0.22,0.56,1.05,0.88
CRIMINOLOGY & PENOLOGY,6,5,0.83,50,0.35,0.14,0.07,0.06,0.89,0.74
CRITICAL CARE MEDICINE,2,45,22.5,100,2.9,3.68,0.01,0.02,1.28,1.48
CRYSTALLOGRAPHY,72,314,4.36,72.22,1.24,0.71,0.16,0.75,1.22,1.07
CULTURAL STUDIES,2,0,0,0,0,0,0.04,0.02,0,0
DANCE,0,0,,,0,0,0,0,,
DEMOGRAPHY,4,3,0.75,50,0.29,0.12,0.1,0.04,0.84,0.74
"DENTISTRY, ORAL SURGERY & MEDICINE",224,"1,074",4.79,65.63,1.38,0.78,0.53,2.33,1.02,0.97
DERMATOLOGY,15,33,2.2,53.33,0.57,0.36,0.04,0.16,0.83,0.79
DEVELOPMENTAL BIOLOGY,27,95,3.52,77.78,0.37,0.58,0.13,0.28,0.97,1.15
ECOLOGY,221,"1,191",5.39,73.76,0.82,0.88,0.27,2.3,0.98,1.09
ECONOMICS,108,209,1.94,46.3,0.73,0.32,0.13,1.12,0.86,0.69
EDUCATION & EDUCATIONAL RESEARCH,116,125,1.08,24.14,0.53,0.18,0.27,1.21,0.5,0.36
"EDUCATION, SCIENTIFIC DISCIPLINES",17,18,1.06,41.18,0.39,0.17,0.11,0.18,0.72,0.61
"EDUCATION, SPECIAL",3,21,7,66.67,2.09,1.15,0.05,0.03,1.07,0.99
ELECTROCHEMISTRY,33,133,4.03,78.79,0.62,0.66,0.06,0.34,1.05,1.17
EMERGENCY MEDICINE,3,2,0.67,33.33,0.23,0.11,0.02,0.03,0.58,0.49
ENDOCRINOLOGY & METABOLISM,137,"1,129",8.24,74.45,1.04,1.35,0.16,1.43,0.97,1.1
ENERGY & FUELS,52,326,6.27,76.92,0.99,1.03,0.06,0.54,1.09,1.14
"ENGINEERING, AEROSPACE",0,0,,,0,0,0,0,,
"ENGINEERING, BIOMEDICAL",59,203,3.44,64.41,0.61,0.56,0.12,0.61,0.92,0.96
"ENGINEERING, CHEMICAL",153,784,5.12,75.16,1.09,0.84,0.13,1.59,1.12,1.11
"ENGINEERING, CIVIL",113,441,3.9,70.8,1.09,0.64,0.19,1.18,1.17,1.05
"ENGINEERING, ELECTRICAL & ELECTRONIC",311,"1,505",4.84,67.2,1.37,0.79,0.14,3.24,1.12,1
"ENGINEERING, ENVIRONMENTAL",137,847,6.18,75.18,0.88,1.01,0.27,1.43,0.98,1.11
"ENGINEERING, GEOLOGICAL",38,81,2.13,60.53,0.91,0.35,0.33,0.4,1.03,0.9
"ENGINEERING, INDUSTRIAL",49,176,3.59,65.31,1.04,0.59,0.25,0.51,1.01,0.97
"ENGINEERING, MANUFACTURING",9,24,2.67,66.67,0.86,0.44,0.04,0.09,1.05,0.99
"ENGINEERING, MARINE",0,0,,,0,0,0,0,,
"ENGINEERING, MECHANICAL",16,27,1.69,56.25,0.62,0.28,0.02,0.17,0.99,0.83
"ENGINEERING, MULTIDISCIPLINARY",47,103,2.19,55.32,0.95,0.36,0.1,0.49,1.07,0.82
"ENGINEERING, OCEAN",5,18,3.6,100,1.45,0.59,0.11,0.05,1.84,1.48
"ENGINEERING, PETROLEUM",2,0,0,0,0,0,0.03,0.02,0,0
ENTOMOLOGY,38,64,1.68,57.89,0.56,0.27,0.13,0.4,0.93,0.86
ENVIRONMENTAL SCIENCES,343,"1,931",5.63,75.8,1.03,0.92,0.21,3.57,1.07,1.12
ENVIRONMENTAL STUDIES,41,145,3.54,60.98,0.89,0.58,0.14,0.43,0.93,0.9
ERGONOMICS,23,63,2.74,69.57,0.94,0.45,0.39,0.24,1.12,1.03
ETHICS,6,5,0.83,50,0.4,0.14,0.06,0.06,0.93,0.74
ETHNIC STUDIES,1,0,0,0,0,0,0.03,0.01,0,0
EVOLUTIONARY BIOLOGY,51,295,5.78,82.35,0.67,0.95,0.18,0.53,1.02,1.22
FAMILY STUDIES,7,18,2.57,57.14,0.9,0.42,0.07,0.07,0.92,0.85
"FILM, RADIO, TELEVISION",0,0,,,0,0,0,0,,
FISHERIES,33,105,3.18,75.76,0.95,0.52,0.14,0.34,1.17,1.12
FOLKLORE,1,0,0,0,0,0,0.08,0.01,0,0
FOOD SCIENCE & TECHNOLOGY,245,"1,257",5.13,73.47,1.3,0.84,0.26,2.55,1.11,1.09
FORESTRY,31,685,22.1,90.32,6.66,3.62,0.14,0.32,1.44,1.34
GASTROENTEROLOGY & HEPATOLOGY,17,167,9.82,64.71,1.39,1.61,0.03,0.18,0.88,0.96
GENETICS & HEREDITY,93,641,6.89,82.8,0.74,1.13,0.1,0.97,1.09,1.23
GEOCHEMISTRY & GEOPHYSICS,190,"1,043",5.49,76.32,1.02,0.9,0.42,1.98,1.07,1.13
GEOGRAPHY,29,46,1.59,27.59,0.52,0.26,0.18,0.3,0.46,0.41
"GEOGRAPHY, PHYSICAL",98,600,6.12,83.67,1.21,1,0.46,1.02,1.15,1.24
GEOLOGY,104,489,4.7,68.27,1.22,0.77,0.87,1.08,1.02,1.01
"GEOSCIENCES, MULTIDISCIPLINARY",338,"1,543",4.57,75.15,0.98,0.75,0.38,3.52,1.08,1.11
GERIATRICS & GERONTOLOGY,39,169,4.33,64.1,0.8,0.71,0.18,0.41,0.9,0.95
GERONTOLOGY,7,24,3.43,57.14,0.78,0.56,0.06,0.07,0.85,0.85
HEALTH CARE SCIENCES & SERVICES,42,187,4.45,64.29,1.06,0.73,0.11,0.44,0.94,0.95
HEALTH POLICY & SERVICES,16,89,5.56,62.5,1.38,0.91,0.07,0.17,0.92,0.93
HEMATOLOGY,26,201,7.73,69.23,0.89,1.27,0.05,0.27,0.88,1.03
HISTORY,33,9,0.27,15.15,0.73,0.04,0.13,0.34,0.74,0.22
HISTORY & PHILOSOPHY OF SCIENCE,23,12,0.52,26.09,0.41,0.09,0.22,0.24,0.64,0.39
HISTORY OF SOCIAL SCIENCES,3,0,0,0,0,0,0.07,0.03,0,0
HORTICULTURE,2,2,1,50,0.36,0.16,0.01,0.02,0.84,0.74
"HOSPITALITY, LEISURE, SPORT & TOURISM",21,15,0.71,23.81,0.28,0.12,0.26,0.22,0.41,0.35
"HUMANITIES, MULTIDISCIPLINARY",15,0,0,0,0,0,0.12,0.16,0,0
IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY,17,85,5,88.24,1.17,0.82,0.17,0.18,1.42,1.31
IMMUNOLOGY,55,367,6.67,72.73,0.75,1.09,0.05,0.57,0.93,1.08
INDUSTRIAL RELATIONS & LABOR,6,6,1,16.67,0.53,0.16,0.15,0.06,0.33,0.25
INFECTIOUS DISEASES,26,123,4.73,92.31,0.67,0.77,0.04,0.27,1.22,1.37
INFORMATION SCIENCE & LIBRARY SCIENCE,160,513,3.21,61.25,1.15,0.53,0.99,1.67,1.11,0.91
INSTRUMENTS & INSTRUMENTATION,70,398,5.69,70,1.55,0.93,0.11,0.73,1.11,1.04
INTEGRATIVE & COMPLEMENTARY MEDICINE,28,135,4.82,75,1.51,0.79,0.21,0.29,1.24,1.11
INTERNATIONAL RELATIONS,13,6,0.46,23.08,0.26,0.08,0.1,0.14,0.49,0.34
LANGUAGE & LINGUISTICS,74,44,0.59,22.97,0.6,0.1,0.41,0.77,0.67,0.34
LAW,22,11,0.5,22.73,0.29,0.08,0.12,0.23,0.46,0.34
LIMNOLOGY,37,220,5.95,72.97,1.34,0.97,0.39,0.39,1.03,1.08
LINGUISTICS,70,54,0.77,24.29,0.41,0.13,0.34,0.73,0.5,0.36
