Tipo de Estadística,,2005,2006,2007,2008,2009,2010
Plan Propio,Incentivación actividad investigadora," € 271,000 "," € 288,000 "," € 270,000 "," € 315,600 "," € 289,720 "," € 250,000 "
Plan Propio,Potenciación recursos humanos," € 1,020,000 "," € 1,300,000 "," € 1,500,000 "," € 1,560,000 "," € 1,580,292 "," € 2,234,716 "
Plan Propio,Movilidad y perfeccionamiento," € 172,000 "," € 170,000 "," € 180,000 "," € 210,000 "," € 184,368 "," € 150,000 "
Plan Propio,Reconocimiento actividad investigadora," € 69,000 "," € 52,000 "," € 52,000 "," € 54,000 "," € 52,676 "," € 43,500 "
Plan Propio,Acciones complementarias," € 340,000 "," € 408,912 "," € 288,860 "," € 268,800 "," € 316,058 "," € 201,784 "
Plan Propio,Ayuda transferencia resultados, - , - , - , - ," € 210,706 "," € 120,000 "
Proyectos Investigación,Plan Nacional,95,104,109,123,105,111
Proyectos Investigación,Plan Nacional," 6,401,405 € "," 7,398,468 € "," 8,549,668 € "," 10,917,830 € "," 9,709,161 € "," 8,831,911 € "
Proyectos Investigación,Plan Andaluz - Excelencia,-,54,80,80,46,50
Proyectos Investigación,Plan Andaluz,-," 6,294,902 € "," 11,833,030 € "," 18,659,254 € "," 8,703,394 € "," 8,097,540 € "
Proyectos Investigación,Proyectos FIS,11,8,7,3,1,8
Proyectos Investigación,Proyectos FIS," 529,345 € "," 475,524 € "," 560,775 € "," 300,707 € "," 226,028 € "," 480,000 € "
Proyectos Investigación,Acciones Complementarias,5,29,25,26,31,16
Proyectos Investigación,Acciones Complementarias," 42,000 € "," 510,400 € "," 336,499 € "," 249,300 € "," 462,400 € "," 165,700 € "
Publicaciones ISI,Nº pub. WoS (Thomson),1019,1218,1432,1526,1662,1733
Publicaciones ISI,Nº pub. Citables  WoS (Thomson),954,1080,1289,1369,1510,1609
Publicaciones ISI,Promedio de Impact Factor,1.94,2.01,2.16,2.23,2.42,2.46
Publicaciones ISI,Sumatorio de Impact Factor,1740,2068,2556,2793,3406,3701
Publicaciones ISI,Nº 1º Cuartil ,378,456,523,564,718,803
Publicaciones ISI,% 1º Cuartil,40%,42%,41%,41%,48%,50%
Publicaciones ISI,Nº Top3,89,104,107,119,141,129
Publicaciones ISI,% Top3,9%,10%,8%,9%,9%,8%
Publicaciones ISI,Nº Papers con Impact Factor > 5,37,33,54,72,95,98
Publicaciones ISI,Nº Papers con Impact Factor > 10,0,2,9,6,8,8
Publicaciones ISI,,,,,,,
Publicaciones ISI,En Revistas JCR - Social Sciences Ed,,,,,,
Publicaciones ISI,Nº pub Citables WoS,79,89,144,138,196,231
Publicaciones ISI,% 1º Cuartil,33%,36%,31%,22%,24%,27%
Publicaciones ISI,% Top3,8%,6%,3%,4%,6%,4%
Publicaciones ISI,Promedio de Impact Factor,1.33,1.33,1.28,1.44,1.33,1.36
Publicaciones ISI,En Revistas JCR - Science Ed,,,,,,
Publicaciones ISI,Nº pub Citables WoS,838,964,1070,1149,1250,1322
Publicaciones ISI,% 1º Cuartil,44%,45%,45%,47%,56%,58%
Publicaciones ISI,% Top3,10%,10%,10%,10%,10%,9%
Publicaciones ISI,Promedio de Impact Factor,2.01,2.06,2.27,2.33,2.59,2.64
Recursos Humanos,Becas FPDI (junta),,,,,,
Recursos Humanos,Docentes,---,---,---,---,36,38
Recursos Humanos,Predoc en proyectos Excelencia,---,33,43,48,32,42
Recursos Humanos,,,,,,,
Recursos Humanos,Doctores en pr excelencia (junta),---,13,20,31,33,13
Recursos Humanos,Técnicos en pr excelencia (junta),---,6,20,41,39,59
Recursos Humanos,,,,,,,
Recursos Humanos,Becas FPI (ministerio),32,22,21,31,29,23
Recursos Humanos,,,,,,,
Recursos Humanos,Becas FPU (ministerio),62,73,73,70,90,79
Recursos Humanos,,,,,,,
Recursos Humanos,Incorporación de doctores (ministerio),,,,,,
Recursos Humanos,Juan de la Cierva,7,7,4,8,11,9
Recursos Humanos,Ramón y Cajal,8,12,8,8,9,9
Recursos Humanos,,,,,,,
Recursos Humanos,Personal Técnico de apoyo (ministerio),6,10,10,4,7,8
Recursos Humanos,,,,,,,
Recursos Humanos,Plan Propio de Investigación (UGR),,,,,,
Recursos Humanos,Contratos Puente,44,52,52,64,74,52
Recursos Humanos,Posdoctorales ,8,13,10,8,10,8
Recursos Humanos,Predoctorales,18,14,23,14,15,12
Recursos Humanos,Reincorporación,---,---,3,8,8,7
Recursos Humanos Acumulado,Becas FPU,204,208,216,206,261,273
Recursos Humanos Acumulado,Becas FPI,77,85,69,70,90,87
Recursos Humanos Acumulado,Contrato de Investigación con cargo a…,218,190,273,246,229,211
Recursos Humanos Acumulado,Contrato Personal Técnico con cargo a…,65,67,146,177,149,125
