CAPÍTULO,ARTÍCULO,CONCEPTO,DENOMINACIÓN,IMPORTES
Capítulo 2. Gastos en bienes corrientes y servicios,Artículo 20. Arrendamientos y cánones,202,Arrendt edificios y otros,2000
Capítulo 2. Gastos en bienes corrientes y servicios,Artículo 20. Arrendamientos y cánones,203,"Arrendt maquinaria,instalaciones y utillaje",2000
Capítulo 2. Gastos en bienes corrientes y servicios,Artículo 20. Arrendamientos y cánones,204,Arrendt material de transporte,2000
Capítulo 2. Gastos en bienes corrientes y servicios,Artículo 20. Arrendamientos y cánones,205,Arrendt mobiliario y enseres,2000
Capítulo 2. Gastos en bienes corrientes y servicios,Artículo 20. Arrendamientos y cánones,206,Arrendt equipo de informática,2000
Capítulo 2. Gastos en bienes corrientes y servicios,Artículo 20. Arrendamientos y cánones,208,Arrendt otro inmovilizado material,2000
Capítulo 2. Gastos en bienes corrientes y servicios,"Artículo 21. Reparaciones, mantenimiento y conservación",212,Edificios y otras construcciones,100000
Capítulo 2. Gastos en bienes corrientes y servicios,"Artículo 21. Reparaciones, mantenimiento y conservación",213,"Maquinarias, instalaciones y utillaje",75000
Capítulo 2. Gastos en bienes corrientes y servicios,"Artículo 21. Reparaciones, mantenimiento y conservación",214,Elementosl de transporte,2000
Capítulo 2. Gastos en bienes corrientes y servicios,"Artículo 21. Reparaciones, mantenimiento y conservación",215,Mobiliario y enseres,15000
Capítulo 2. Gastos en bienes corrientes y servicios,"Artículo 21. Reparaciones, mantenimiento y conservación",216,Sistemas para procesos de información,75000
Capítulo 2. Gastos en bienes corrientes y servicios,"Artículo 22. Material, suministros y otros",220,Material de oficina,110000
Capítulo 2. Gastos en bienes corrientes y servicios,"Artículo 22. Material, suministros y otros",221,Suministros,125000
Capítulo 2. Gastos en bienes corrientes y servicios,"Artículo 22. Material, suministros y otros",222,Comunicaciones,15000
Capítulo 2. Gastos en bienes corrientes y servicios,"Artículo 22. Material, suministros y otros",223,Transportes,2000
Capítulo 2. Gastos en bienes corrientes y servicios,"Artículo 22. Material, suministros y otros",224,Primas de seguros,5000
Capítulo 2. Gastos en bienes corrientes y servicios,"Artículo 22. Material, suministros y otros",225,Tributos,5000
Capítulo 2. Gastos en bienes corrientes y servicios,"Artículo 22. Material, suministros y otros",226,Gastos diversos,74940
Capítulo 2. Gastos en bienes corrientes y servicios,"Artículo 22. Material, suministros y otros","226,01",Atenciones protocolarias y de representación,10000
Capítulo 2. Gastos en bienes corrientes y servicios,"Artículo 22. Material, suministros y otros",227,Trabajos realizados por otras empresas,80000
Capítulo 2. Gastos en bienes corrientes y servicios,Artículo 23. Indemnizaciones por razón del servicio,230,Dietas,50000
Capítulo 2. Gastos en bienes corrientes y servicios,Artículo 23. Indemnizaciones por razón del servicio,231,Locomoción,50000
Capítulo 6. Inversiones reales,Artículo 60. Inversiones de carácter material,608,Inversiones bibliográficas,3600000
Capítulo 6. Inversiones reales,Artículo 63. Programa FEDER,631,Programa FEDER 2007/2013,7000000
Capítulo 6. Inversiones reales,Artículo 64. Inversiones de carácter inmaterial,640,Investigación científica,30061159
Capítulo 6. Inversiones reales,Artículo 64. Inversiones de carácter inmaterial,641,Plan Propio de Investigación Científica,3360000
Capítulo 6. Inversiones reales,Artículo 64. Inversiones de carácter inmaterial,"641,02",Plan Propio Fomento Productividad Investigadora,1000000
