"Año inicio","Tipo","Titulación","Rama de conocimiento","Centro","Campus"
"2014","DOCTORADO","Criminología","HUMANIDADES, CIENCIAS SOCIALES Y JURÍDICAS","ESCUELA DE DOCTORADO","UGR"
"2014","GRADO","Biotecnología","Ciencias","Facultad de Ciencias","Fuentenueva"
"2014","GRADO","Educación Primaria y Ciencias de la Actividad Física y del Deporte (doble grado)","Ciencias Sociales y Jurídicas","Facultad de Educación y Humanidades","Melilla"
"2014","MÁSTER OFICIAL","Máster Universitario en Auditoría (M99.56.2)","CC. SOCIALES Y JURÍDICAS","FACULTAD DE DERECHO","CENTRO"
"2014","MÁSTER OFICIAL","Máster Universitario en Avances en Biología Agraria y Acuicultura (M48.56.2)","CIENCIAS","FACULTAD DE CIENCIAS","FUENTENUEVA"
"2014","MÁSTER OFICIAL","Máster Universitario en Biología Molecular aplicada a Empresas Biotecnológicas (BIOENTERPRISE) (M78.56.1)","CIENCIAS","FACULTAD DE CIENCIAS","FUENTENUEVA"
"2014","MÁSTER OFICIAL","Máster Universitario en Ciencia de Datos e Ingeniería de Computadores (M51.56.2)","INGENIERÍA Y ARQUITECTURA","E.T.S. DE INGENIERÍAS INFORMÁTICA Y DE TELECOMUNICACIÓN","AYNADAMAR"
"2014","MÁSTER OFICIAL","Máster Universitario en Ciencias y Tecnologías Químicas, KHEMIA (M43.56.2)","CIENCIAS","FACULTAD DE CIENCIAS","FUENTENUEVA"
"2014","MÁSTER OFICIAL","Máster Universitario en Física: Radiaciones, Nanotecnología, Partículas y Astrofísica (M44.56.2)","CIENCIAS","FACULTAD DE CIENCIAS","FUENTENUEVA"
"2014","MÁSTER OFICIAL","Máster Universitario en Geología Aplicada a los Recursos Minerales y Energéticos (M45.56.2)","CIENCIAS","FACULTAD DE CIENCIAS","FUENTENUEVA"
"2014","MÁSTER OFICIAL","Máster Universitario en Ingeniería de Caminos, Canales y Puertos (MA9.56.1)","INGENIERÍA Y ARQUITECTURA","E.T.S. DE INGENIERÍA DE CAMINOS, CANALES Y PUERTOS","FUENTENUEVA"
