CONCEPTOS,CEUTA,MELILLA,TOTAL´
CAPÍTULO 1º,,,
Docentes Funcionarios,1315654,1810107,3125760
Docentes Contratados,1790341,2080073,3870414
P.A.S. Funcionario,252202,643273,895475
P.A.S. Laboral,635587,575301,1210887
Cargos Académicos,54296,82416,136713
Cuota Patronal Seguridad Social,739208,964904,1704112
Estimación Reducción Ley 3/2012 Junta Andalucía ,-203704,-256401,-460105
TOTAL CAPÍTULO 1º,4583583,5899672,10483256
CAPÍTULO 2º,,,
Campus edif. Teniente Ruiz Ceuta (Estructurales),136458,,136458
Facultad de Educación y Humanidades de Melilla( Estructurales),,186893,186893
Fac. Ciencias Sociales Melilla) (Estructurales),,184820,184820
Facultad de Ciencias de la Salud Melilla) (Estructurales),,7250,7250
Facultad de Educación y Humanidades (Créd. Distribuibles),55360,28157,83517
Fac. Ciencias Sociales (Créditos distribuibles),,21631,21631
Facultad de Ciencias de la Salud (Créditos distribuibles),27676,17759,45435
Dietas Reuniones Departamentales,106434,158994,265428
TOTAL CAPÍTULO 2º,325928,605504,931432
CAPÍTULO 6º,,,
Actuaciones Campus,,,0
TOTAL CAPÍTULO 6º,,,0

TOTAL GASTO,4909512,6505177,11414688
