"Colectivo","Grupo","Género","Nº efect."
"Pas Funcionario","A1","Hombre",84
"Pas Funcionario","A1","Mujer",61
"Pas Funcionario","A2","Hombre",100
"Pas Funcionario","A2","Mujer",84
"Pas Funcionario","C1","Hombre",201
"Pas Funcionario","C1","Mujer",295
"Pas Funcionario","C2","Hombre",46
"Pas Funcionario","C2","Mujer",103
"Pas Laboral","G1","Hombre",34
"Pas Laboral","G1","Mujer",49
"Pas Laboral","G2","Hombre",32
"Pas Laboral","G2","Mujer",29
"Pas Laboral","G3","Hombre",301
"Pas Laboral","G3","Mujer",176
"Pas Laboral","G4","Hombre",271
"Pas Laboral","G4","Mujer",451
"Pdi Contratado","Contr.Doctor","Hombre",248
"Pdi Contratado","Contr.Doctor","Mujer",237
"Pdi Contratado","Ayud Doctor","Hombre",55
"Pdi Contratado","Ayud Doctor","Mujer",49
"Pdi Contratado","Asociad","Hombre",257
"Pdi Contratado","Asociad","Mujer",90
"Pdi Contratado","Ayudante","Hombre",0
"Pdi Contratado","Ayudante","Mujer",0
"Pdi Contratado","Asoc.Salud","Hombre",103
"Pdi Contratado","Asoc.Salud","Mujer",47
"Pdi Contratado","Colaborador","Hombre",70
"Pdi Contratado","Colaborador","Mujer",64
"Pdi Contratado","Otros","Hombre",8
"Pdi Contratado","Otros","Mujer",5
"Pdi Funcionario","CU","Hombre",454
"Pdi Funcionario","CU","Mujer",126
"Pdi Funcionario","CEU","Hombre",24
"Pdi Funcionario","CEU","Mujer",8
"Pdi Funcionario","TU","Hombre",838
"Pdi Funcionario","TU","Mujer",551
"Pdi Funcionario","TEU","Hombre",52
"Pdi Funcionario","TEU","Mujer",49
"Pdi Funcionario","OTROS","Hombre",8
"Pdi Funcionario","OTROS","Mujer",11
