"Económica  490",,,,,,,,,,,,,
"Ordenación:  Nº reg. justificante ",,,,,,,,,,,,,
Descripción,"Nif Proveedor","Nombre Proveedor","Importe Total",,,,,,,,,,
"PAGADO CON TARJETA. ACADEMIC COOPERATION",BE0451407415,"ACADEMIC COOPERATION ASSOCIATION",120.00,,,,,,,,,,
"ABONAR FACTURA A LA ASOCIACION UNIVERSIT",G37331915,"ASOCIACION UNIVERSITARIA IBEROAMERICANA","1,500.00",,,,,,,,,,
"PAGO DE FACTURA  SUSCRIPCION EDUCACION D",IE9624753K,"ASSOCIATION FOR DENTAL EDUCATION IN EURO",570.00,,,,,,,,,,
"ABONAR REQUERIMIENTO DE PAGO DE LA ASOCI",FR17784617805,"ASSOCIATION INTERNATIONALE DES UNIVERSIT","2,600.00",,,,,,,,,,
"TRANSFERENCIA A LA BUDAPEST UNIVERSITY O",HU000015308799,"BUDAPEST UNIVERSITY OF TECHNOLOGY AND EC","4,956.00",,,,,,,,,,
"TRANSFERENCIA A CAMBRIDGE PROFESSIONAL D",GB750984504,"CAMBRIDGE PROFESISONAL DEVELOPMENT LTD","9,329.10",,,,,,,,,,
"ABONO DE LA CUOTA ANUAL A UNESCO DE ANDA",G18395574,"CENTRO UNESCO DE ANDALUCIA",600.00,,,,,,,,,,
"SE RUEGA ORDENAR TRANSFERENCIA PARA ABON",BE000447393989,"COIMBRA GROUP","9,605.00",,,,,,,,,,
"ABONAR CUOTA A LA ASOCIACION INTERNACION",DK30891732,"ENOTHE OFFICE. METROPOLITAN UNIVERSITY C",460.00,,,,,,,,,,
"SUSCRIPCIÓN PARA EL AÑO 2013 A EUCEN (Eu",BE451133241,"EUROPEAN UNIVERSITIES CONTINUING EDUCATI",550.00,,,,,,,,,,
"CUOTAS Y CONTRIBUCIONES A ORGANISMOS INT",CH66019710001,"EUROPEAN UNIVERSITY ASSOCIATION","5,420.00",,,,,,,,,,
"TRANSFERENCIA A LA FRIEDRICH-ALEXANDER-U",DE132507686,"FRIEDRICH ALEXANDER UNIVERSITAT ERLANGEN","8,623.50",,,,,,,,,,
"ABONAR CUOTA ANUAL AL GRUPO TORDESILLAS.",G47571682,"GRUPO TORDESILLAS","1,000.00",,,,,,,,,,
"TRANSFERENCIA A UNIWERSYTET JAGIELLONSKI",PL6750002236,"JAGIELLONIAN UNIVERSITY","4,781.40",,,,,,,,,,
"ABONAR CUOTA ORGANISMO INTERNACIONAL  AI",4,"MONEDA EXTRANJERA",300.14,,,,,,,,,,
