"Económica  480"
"Ordenación:  Nº reg. justificante "
Descripción,"Nombre Proveedor","Importe Total"
"BECAS PROPIAS 2012/2013: BECA DE LIBROS","BECAS DIVERSAS",32203.53
"PROYECTO VIAJE A LA SIERRA DE CAZORLA. C","ASOC. AMBIENTAE GRANADA",600.00
"SUBVENCIÓN A LA ASOCIACIÓN UNIVERSITARIA","ASOC. CORO DE LA FACULTAD DE",3000.00
"PROYECTO ENCUENTRO INTERCULTURAL JERUSAL","ASOC. JUVENIL CLUB UNIVERSITA",1000.00
"PROYECTO LIBROFORUM. CONVOCATORIA ASOCIA","ASOC. JUVENIL CLUB UNIVERSITA",400.00
"PROYECTO EL LOBO IBERICO: BIOLOGIA Y CON","ASOC. SECTORIAL DE ALUMNOS DE",600.00
"PROYECTO JORNADAS: MAS ALLA DE LA CIENCI","ASOC. SECTORIAL DE ALUMNOS DE",350.00
"PROYECTO VISITAS A ESPACIOS PROTEGIDOS D","ASOC. SECTORIAL DE ALUMNOS DE",700.00
"SUBVENCIÓN A LA ASOCIACIÓN UNIVERSITARIA","ASOC. SECTORIAL DE ALUMNOS DE",600.00
"PROYECTO AULA DE PENSAMIENTO CRITICO. CO","ASOCIACION ACCION EN RED",650.00
"CONTRIBUCIÓN A LA ASOCIACIÓN DE ALUMNOS","ASOCIACION ALUMNOS/AS DEL AUL",1180.00
"AYUDA PARA EL DESARROLLO DE ACTIVIDADES","ASOCIACION AULACE",1000.00
"AYUDA A LA ASOCIACIÓN BASTI POR SU COLAB","ASOCIACION BASTI",376.00
"PROYECTO: VOLUNTARIADO CON LA MADRE TERE","ASOCIACION COOPERACION Y DESA",400.00
"PROYECTO: VOLUNTARIADO EN HOSPITALES, CE","ASOCIACION COOPERACION Y DESA",500.00
"SUBVENCION ANUAL","ASOCIACION DE CIENCIA Y TECNO",600.00
"PROYECTO:  EDUCACION NUTRICIONAL PARA EL","ASOCIACION DE CIENCIA Y TECNO",175.00
"PROYECTO: JORNADAS SOBRE ORIENTACION PRO","ASOCIACION DE CIENCIA Y TECNO",100.00
"PROYECTO: PROYECCION DEL DIETISTA- NUTRI","ASOCIACION DE CIENCIA Y TECNO",100.00
"PROYECTO: VIAJE A INDUSTRIA ALIMENTARIA.","ASOCIACION DE CIENCIA Y TECNO",200.00
"PROYECTO: ESCAPADA A MADRID. CONVOCATORI","ASOCIACION DE CIENCIAS DEL TR",500.00
"PROYECTO: I MARATON FOTOGRAFICO AULA PER","ASOCIACION DE CIENCIAS DEL TR",310.00
"PROYECTO: VISITA AL CONSEJO ANDALUZ DE P","ASOCIACION DE CIENCIAS DEL TR",400.00
"AYUDA CONCEDIDA A LA ASOCIACION DE ESTUD","ASOCIACION DE ESTUDIANTES DE",400.00
"PROYECTO: EL ALBAICIN Y LOS ROMANCES DE","ASOCIACION DE LOS ESTADOS GEN",450.00
"PROYECTO: EL SACROMONTE, HISTORIA DEL FL","ASOCIACION DE LOS ESTADOS GEN",700.00
"IMPORTE DE LA SUBVENCION QUE ESTE AÑO SE","ASOCIACION DIETISTAS NUTRICIO",700.00
"PROYECTO MATERIAL PARA TALLERES. CONVOCA","ASOCIACION DIETISTAS NUTRICIO",300.00
"SUBVENCIÓN A LA ASOCIACIÓN UNIVERSITARIA","ASOCIACION ELECTRIAL",519.00
"CUOTA ANUAL DEL AULA PERMANENTE DE FORMA","ASOCIACION ESTATAL DE PROGRAM",150.00
"AYUDA AL PROYECTO DE LA ASOCIACION ESTUD","ASOCIACION ESTUD. FISICA Y EL",1850.00
"PROYECTO CAMPAMENTOS DE VERANO. CONVOCAT","ASOCIACION FLUSSPORT GESTION",484.99
"PROYECTO ESCUELAS DEPORTIVAS DE LA FACUL","ASOCIACION FLUSSPORT GESTION",1500.00
"SUBVENCION ANUAL","ASOCIACION GRANADINA DE ESTUD",1300.00
"PROYECTO:  CURSO DE SOCORRISMO Y PRIMERO","ASOCIACION GRANADINA DE ESTUD",600.00
"PROYECTO: I CONGRESO NACIONAL MULTIDISCI","ASOCIACION GRANADINA DE ESTUD",900.00
"PROYECTO: INTERFARMA 2013. CONVOCATORIA","ASOCIACION GRANADINA DE ESTUD",1000.00
"PROYECTO TXEMA SALVANS: LA FOTOGRAFIA CO","ASOCIACION INSULA SUR",400.00
"PROYECTO CONGRESO NACIONAL MULTIDISCIPLI","ASOCIACION INVESTIGADORES EXT",2500.00
"PROYECTO CURSO SOBRE PRACTICA Y ASESORAM","ASOCIACION JUVENIL AFIPRA EN",300.00
"PROYECTO COACHING GRUPAL Y MOTIVACION DE","ASOCIACION JUVENIL ASEPRODE",600.00
"PROYECTO INTRODUCCION AL COACHING. CONVO","ASOCIACION JUVENIL ASEPRODE",700.00
"PROYECTO SUMMER JADE MEETING 2013. CONVO","ASOCIACION JUVENIL ASEPRODE",915.00
"PROYECTO TALLER DE INTELIGENCIA EMOCIONA","ASOCIACION JUVENIL ASEPRODE",450.00
"PROYECTO CAMPAÑA DE AFILIACION A LA AFPE","ASOCIACION JUVENIL ASESORIA Y",200.00
"PROYECTO CAMPAÑA PUBLICITARIA AFPE ENFOC","ASOCIACION JUVENIL ASESORIA Y",300.00
"PROYECTO HERRAMIENTAS BASICAS PARA EL DI","ASOCIACION JUVENIL ASESORIA Y",400.00
"PROYECTO HERRAMIENTAS PARA EL MANEJO DEL","ASOCIACION JUVENIL ASESORIA Y",400.00
"SUBVENCIÓN A LA ASOCIACIÓN UNIVERSITARIA","ASOCIACION JUVENIL DE ALUMNOS",700.00
"PROYECTO EXPOSICION DE PINTURA Y ESCULTU","ASOCIACION JUVENIL TAURINA PR",1500.00
"PROYECTO TORNEO DE PADEL INTURJOVEN. CON","ASOCIACION JUVENIL TAURINA PR",300.00
"PROYECTO PROGRAMA DE ATENCION Y ACOMPAÑA","ASOCIACION SOLIDARIOS PARA EL",4000.00
"PROYECTO PROGRAMA DE FORMACION Y SENSIBI","ASOCIACION SOLIDARIOS PARA EL",2250.00
"PROYECTO CERTAMEN INTERNACIONAL DE TUNAS","ASOCIACION TUNA ARQUITECTURA",500.00
"PROYECTO POSIBILIDADES DE SEGURIDAD Y DE","ASOCIACION UNIVERSITARIA GRAN",500.00
"PROYECTO VISITA A LA BASE AEREA DE ARMIL","ASOCIACION UNIVERSITARIA GRAN",500.00
"PROYECTO: ACCION POETICA. CONVOCATORIA A","ASOCIACION WORLDFRIENDS",450.00
"PAGO AYUDA A LOS ESTUDIANTES ECUATOGUINE","AYUDAS DIVERSAS",21000.00
"PAGO AYUDA PARA LA PARTICIPACIÓN DE ESTU","AYUDAS DIVERSAS",2250.00
"PAGO AYUDA PARA LA REALIZACIÓN DE ACTIVI","AYUDAS DIVERSAS",20325.00
"PAGO AYUDAS DENTRO DEL PROGRAMA DE FORMA","AYUDAS DIVERSAS",5250.10
"ABONO DE PRÁCTICAS FORMATIVAS DE UN EXPE","BECAS DIVERSAS",32805.00
"ASIGNACIÓN AYUDA A LA FORMACIÓN ORQUESTA","BECAS DIVERSAS",500.00
"Ayudas varias","BECAS DIVERSAS",3850.00
"AYUDAS A LA FORMACIÓN MIEMBROS ORQUESTA","BECAS DIVERSAS",21040.00
"BECA DE APOYO EN LABORES INFORMATIVAS DE","BECAS DIVERSAS",2800.00
"BECAS PROPIAS 2012-13: AYUDAS PARA CAPAC","BECAS DIVERSAS",6063.75
"BECAS PROPIAS 2012-2013 Y 2013-2014: AYU","BECAS DIVERSAS",4692.00
"BECAS PROPIAS 2012-2013: AYUDA DE ALOJAM","BECAS DIVERSAS",61500.00
"BECAS PROPIAS 2012-2013: AYUDA DE CAPACI","BECAS DIVERSAS",183.75
"BECAS PROPIAS 2012-2013: AYUDA DE PRECIO","BECAS DIVERSAS",442488.99
"BECAS PROPIAS 2012-2013: AYUDA DE TASAS","BECAS DIVERSAS",10800.00
"BECAS PROPIAS 2012-2013: AYUDA ECONOMICA","BECAS DIVERSAS",1456.70
"BECAS PROPIAS 2012-2013: AYUDAS DE APOYO","BECAS DIVERSAS",66540.00
"BECAS PROPIAS 2012-2013: AYUDAS DE MATER","BECAS DIVERSAS",63200.00
"BECAS PROPIAS 2012-2013: AYUDAS DE TRANS","BECAS DIVERSAS",600.00
"BECAS PROPIAS 2012-2013: AYUDAS SOCIALES","BECAS DIVERSAS",396916.18
"BECAS PROPIAS 2012-2013: BECA DE COORDIN","BECAS DIVERSAS",31894.09
"BECAS PROPIAS 2012-2013: BECAS DE ESTUDI","BECAS DIVERSAS",84700.00
"BECAS PROPIAS 2013-14: BECAS DE LIBROS D","BECAS DIVERSAS",1224.00
"BECAS PROPIAS 2013-2014: AYUDA DE PRECIO","BECAS DIVERSAS",370.39
"BECAS PROPIAS 2013-2014: AYUDA PARA CAPA","BECAS DIVERSAS",183.75
"BECAS PROPIAS 2013-2014: AYUDAS DE MATER","BECAS DIVERSAS",200.00
"BECAS PROPIAS 2013-2014: BECAS DE APOYO","BECAS DIVERSAS",23550.00
"BECAS SENECA CURSO 2012-2013","BECAS DIVERSAS",662000.00
"Estudiantes de asociaciones sin ánimo de","BECAS DIVERSAS",45957.00
"Estudiantes del Plan de formación de int","BECAS DIVERSAS",293477.50
"BECAS APOYO AULA PERMANENTE","BECAS DIVERSAS",4800.00
"AYUDA DE MOVILIDAD PARA ESTUDIAN","BECAS DIVERSAS",4000.00
"BECAS Y SEGUROS A ALUMNOS","BECAS DIVERSAS",20738.71
"Prácticas convenio Sindrome de Down","BECAS DIVERSAS",26560.00
"Relación de estudiantes del PRAEM","BECAS DIVERSAS",1260.00
"Ayuda programa susrit","BECAS DIVERSAS",3400.00
"PROYECTO: INTERCAMBIOS CLINICOS. CONVOCA","IFMSA.GRANADA. FED.INT.ASOC.",800.00
"OCTUBRE 2013: CUOTA PATRONAL - PRACTICAS","TESORERIA GENERAL DE LA SEGUR",2660.81
"BECAS PROPIAS 2011-2012: BECA DE LIBROS","TEXTOS BABEL, S. L.",8472.72
"PROYECTO ESCUELA DE VERANO. CONVOCATORIA","UNI LAICA",1250.00
"BILLETE AUTOBUS Y BARCO+SEGURO ","VIAJES GENIL S.A.",1342.43
