Orgánica,Vicerrectorado,Centro,Importe
3021390000,Vicerrectorado de Docencia,Vicerrectorado de Docencia,15000
3020240000,Vicerrectorado de Docencia,Másteres Universitarios,1108160
3045010x00,Vicerrectorado de Docencia,Escuelas de Doctorado,167200
3020500000,Vicerrectorado de Docencia,Escuela Internacional de Posgrado,50000
3020870000,Vicerrectorado de Docencia,Aula Permanente de Formación Abierta,18000
3020060000,Vicerrectorado Investigación y Transferencia,Vicerrectorado Investigación y Transferencia,12000
3020170000,Vicerrectorado Investigación y Transferencia,Biblioteca Universitaria,2470000
3021300000,Vicerrectorado Investigación y Transferencia,Biblioteca de Medicina y Ciencias de la Salud (mantenimiento),6000
3020020000,Vicerrectorado Investigación y Transferencia,Centro de Instrumentación Científica,90000
3020190000,Vicerrectorado Investigación y Transferencia,Oficina de Transferencia de Resultados de Investigación,18000
3021430000,Vicerrectorado Investigación y Transferencia,Comisión Mixta Universidad – MADOC,35000
3022260000,Vicerrectorado Investigación y Transferencia,Oficina de Proyectos Internacionales,12000
3021160000,Vicerrectorado Investigación y Transferencia,Editorial Universidad de Granada,67500
3021270000,Vicerrectorado Investigación y Transferencia,Centro de Documentación Científica,5520
3020560000,Vicerrectorado Investigación y Transferencia,Centro de Documentación Europea,5520
3022540000,Vicerrectorado Investigación y Transferencia,Edificio Centro de Investigación Biomédica,"41830,2"
3023170000,Vicerrectorado Investigación y Transferencia,Centro de Investigación CITIC,10800
3020780000,Vicerrectorado Investigación y Transferencia,"Centro de Investigación Mente, Cerebro y Comportamiento CIMCYC",10800
Varios,Vicerrectorado Investigación y Transferencia,Institutos Universitarios (14),95760
,Vicerrectorado Investigación y Transferencia,Institutos Universitarios Contratos Programa ,14364
3021810000,Vicerrectorado de Internacionalización,Vicerrectorado de Internacionalización,13000
3021120000,Vicerrectorado de Internacionalización,Oficina de Relaciones Internacionales,70000
3020450000,Vicerrectorado de Internacionalización,Plan propio de cooperación al desarrollo,281000
