NIVEL,TIPO[1],C.DESTINO (INDIV. MENSUAL),C.ESPECIF. (INDIV. MENSUAL),C.P.N.A.(INDIV. MENSUAL),C.PRODUCT.(INDIV. ANUAL),C.HOMOLOG. (INDIV. ANUAL),PLANTILLA,TOTAL (INDIVIDUAL ANUAL)
30,LD,"968,75","3688,28",0,,"932,67",1,"66131,09"
29,1,"868,93","1718,84",0,"5155,00","932,67",8,"42316,45"
29,2,"868,93","1094,52",0,"5155,00","932,67",1,"33575,97"
27,2,"795,85","1094,52",0,"4423,39","932,67",94,"31821,24"
26,2,"698,20","1094,52","97,65","4423,39","932,67",22,"31625,94"
26,3,"698,20","875,63",0,"4423,39","932,67",2,"27389,68"
25,3,"619,47","875,63",0,"3551,13","932,67",86,"25415,20"
23,4,"546,41","665,85",0,"3231,79","932,67",60,"21136,10"
22,2,"509,84","1094,52","286,01","3231,79","932,67",2,"30057,62"
22,3,"509,84","875,63","109,63","3231,79","932,67",16,"24876,60"
22,4,"509,84","665,85","36,57","3231,79","932,67",115,"21062,96"
22,5,"509,84","552,74",0,"3231,79","932,67",68,"19040,58"
22,7,"509,84","437,81",0,"3231,79","932,67",1,"17431,56"
20,5,"439,70","552,74",0,"2775,77","932,67",283,"17602,60"
20,7,"439,70","437,81",0,"2775,77","932,67",1,"15993,58"
18,6,"394,79","456,05",0,"2577,47","932,67",11,"15421,90"
17,7,"372,33","437,81",0,"2577,47","932,67",57,"14852,10"
15,7,"327,44","346,64",0,"2577,47","932,67",1,"12947,26"
15,8,"327,44","346,64",0,"2577,47","932,67",66,"12947,26"
15,8,"327,44","346,64",0,"2577,47","932,67",53,"12947,26"
