Subprograma,Denominación,Actuaciones,Crédito,Financiación específica: externa,Financiación específica: Rec. Propios
541A.1,"Investigación, Transferencia y Bibliotecas",Gestión Vicerrectorado de Política Científica e Investigación,49000,0,0
541A.1,"Investigación, Transferencia y Bibliotecas",Plan Propio de Investigación,3505000,0,0
541A.1,"Investigación, Transferencia y Bibliotecas",Plan Propio de Fomento de la Productividad Investigadora,600000,0,0
541A.1,"Investigación, Transferencia y Bibliotecas","Proyectos, Grupos y otras actuaciones de Investigación",42637478,42637478,0
541A.1,"Investigación, Transferencia y Bibliotecas",Biblioteca Universitaria,2969098,0,30000
541A.1,"Investigación, Transferencia y Bibliotecas",Oficina de Proyectos Internacionales,12000,0,0
541A.1,"Investigación, Transferencia y Bibliotecas",Oficina de Transferencia de Resultados de Investigación,2274200,2200000,26200
541A.1,"Investigación, Transferencia y Bibliotecas",Comisión Mixta Universidad+MADOC,35000,0,0
541A.1,"Investigación, Transferencia y Bibliotecas","Inscripciones de Congresos, Jornadas y difusión de I+D+I",350000,350000,0
541A.1,"Investigación, Transferencia y Bibliotecas",Editorial Universitaria,217500,0,150000
541A.1,"Investigación, Transferencia y Bibliotecas",Unidad de Cultura Científica,90966,90966,0
541A.1,"Investigación, Transferencia y Bibliotecas",Centro de Instrumentación Científica,469306,,300000
541A.1,"Investigación, Transferencia y Bibliotecas",Beca de Investigación FUJISU (D. Ugr Digital),14400,14400,
,,,,,
541A.2,Institutos y Centros de Investigación,Institutos de Investigación,196650,0,0
541A.2,Institutos y Centros de Investigación,Centro de Investigación Biomédica,67362,0,0
541A.2,Institutos y Centros de Investigación,Otros Centros de Investigación,103284,52000,0
541A.2,Institutos y Centros de Investigación,Desarrollo Campus CC Salud,0,0,0
