Nombre,Sindicato
María Artes Rodríguez,CCOO
Juan de Dios Castro Molina,CCOO
José Antonio López Fernández,CCOO
Ana López Rubio,CCOO (Del.)
Yolanda Martínez Sánchez,CCOO
Patricia Oliver Escobar,CCOO
Eva Mª Reyes Tovar,CCOO
Pedro Rubio Mercado,CCOO
Braulio Torres Montalbán,CCOO
Juan Gabriel Valderrama Fernández,CCOO
Alicia Vera Suanes,CCOO
José Manuel Escribano Gutiérrez,CSI-CSIF
José Antonio Cerezo Díaz,UGT
Antonio Garrido Carrillo,UGT
Concepción Granados Triviño,UGT
María Dolores Nieto Jiménez,UGT
Margarita Rodríguez Cotelo,UGT (Del.)
