"Rama","Titulación ","Núm. Cursos en  Plan Estudios","Núm. Estud (2007/2008)","Media (2007/2008)"," Núm. Estud (2008/2009)","Media (2008/2009)","Núm. Estud (2009/2010)","Media (2009/2010)","Núm. Estud (2010/2011)","Media (2010/2011)"
"Ciencias Experimentales","DIPLOMADO EN ESTADÍSTICA","3","16","4,25","11","5,55","9","5,67","12","4,50"
"Ciencias Experimentales","DIPLOMADO EN NUTRICIÓN HUMANA Y DIETÉTICA","3","76","3,70","76","3,92","66","3,94","62","3,79"
"Ciencias Experimentales","DIPLOMADO EN ÓPTICA Y OPTOMETRÍA","3","62","3,98","101","4,14","109","4,39","110","4,55"
"Ciencias Experimentales","LICENCIADO EN BIOLOGÍA","5","118","7,06","146","7,06","135","7,36","106","7,36"
"Ciencias Experimentales","LICENCIADO EN BIOQUÍMICA","2","17","3,24","21","2,43","14","3,00","23","2,61"
"Ciencias Experimentales","LICENCIADO EN CIENCIA Y TECNOLOGÍA DE LOS ALIMENTOS","2","50","2,92","55","3,24","64","2,78","61","2,92"
"Ciencias Experimentales","LICENCIADO EN CIENCIAS AMBIENTALES","4","123","6,71","156","6,43","101","6,86","93","7,40"
"Ciencias Experimentales","LICENCIADO EN CIENCIAS Y TÉCNICAS ESTADÍSTICAS","2","19","2,84","7","3,00","7","4,43","8","3,00"
"Ciencias Experimentales","LICENCIADO EN FÍSICA","5","26","7,19","24","7,63","35","7,11","28","7,54"
"Ciencias Experimentales","LICENCIADO EN GEOLOGÍA","5","59","8,07","62","8,18","30","8,33","23","7,61"
"Ciencias Experimentales","LICENCIADO EN MATEMÁTICAS","5","30","6,00","27","6,44","33","6,36","25","6,52"
"Ciencias Experimentales","LICENCIADO EN QUÍMICA","5","64","8,02","62","8,42","51","8,86","43","9,12"
"Ciencias Jurídicas y Sociales","DIPLOMADO EN BIBLIOTECONOMÍA Y DOCUMENTACIÓN","3","44","4,36","36","4,36","26","4,23","36","4,81"
"Ciencias Jurídicas y Sociales","DIPLOMADO EN CIENCIAS EMPRESARIALES","3","157","5,76","181","5,55","183","5,68","214","5,89"
"Ciencias Jurídicas y Sociales","DIPLOMADO EN CIENCIAS EMPRESARIALES - CEUTA","3","18","4,28","15","5,47","13","5,00","25","5,04"
"Ciencias Jurídicas y Sociales","DIPLOMADO EN CIENCIAS EMPRESARIALES - MELILLA","3","17","3,88","18","4,89","22","4,50","16","4,50"
"Ciencias Jurídicas y Sociales","DIPLOMADO EN EDUCACIÓN SOCIAL","3","64","3,25","68","3,34","70","3,46","78","3,37"
"Ciencias Jurídicas y Sociales","DIPLOMADO EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA - MELILLA","3","7","4,00","9","3,22","3","4,67","5","3,60"
"Ciencias Jurídicas y Sociales","DIPLOMADO EN RELACIONES LABORALES","3","228","5,73","202","5,50","198","5,19","215","5,43"
"Ciencias Jurídicas y Sociales","DIPLOMADO EN RELACIONES LABORALES - MELILLA","3","9","4,11","6","4,67","7","3,57","5","5,00"
"Ciencias Jurídicas y Sociales","DIPLOMADO EN TRABAJO SOCIAL","3","161","4,06","160","3,83","137","3,69","150","3,84"
