Capítulo,Art.,Concp,Subconc,Denominación,Subconc,Concp,Art.,Cap.´
3,"Tasas, precios públicos y otros ingresos",,,,,,,55940000
-,30,Tasas,,,,,2000000,
-,,303,Tasas Académicas,,,2000000,,
-,,,30300,Por servicios administrativos,2000000,,,
-,31,Precios públicos,,,,,44840000,
-,,312,Servicios académicos enseñanzas regladas ,,,44840000,,
-,,,31200,Enseñanzas de Grado,28000000,,,
-,,,31201,Enseñanzas de Posgrado oficial,4000000,,,
-,,,31202,Compensación becarios ,11000000,,,
-,,,31203,Compensación familias numerosas,1000000,,,
-,,,31204,Compens.matrícula personal propio,840000,,,
-,32,Ingresos por prestación de servicios,,,,,8675000,
-,,320,Derechos matrícula cursos y seminarios,,,2625000,,
-,,,32000,Estudios de Extensión Universitaria,75000,,,
-,,,32001,Cursos de Enseñanzas propias,,,,
-,,,32001,Cursos propios de Postgrado,1500000,,,
-,,,32002,Centro de Actividades Deportivas,300000,,,
-,,,32007,Curso obtención C.A.P.,0,,,
-,,,32008,"Inscripciones jornadas,congresos",300000,,,
-,,,32010,Centro Mediterráneo,150000,,,
-,,,32011,Aula Permanente Formación Abierta,50000,,,
-,,,32099,Otros Cursos y Seminarios,250000,,,
-,,323,Contratos artículo 83 LOU,,,2900000,,
-,,,32300,Contratos OTRI,2500000,,,
-,,,32302,Contratos Fundación Univ.Empresa,400000,,,
-,,324,Unidades de apoyo a la investigación,,,250000,,
-,,,32400,Centro Instrumentación Científica,250000,,,
-,,325,"Alojamiento, restauración y residencias",,,2800000,,
-,,,32500,Colegio Mayor Isabel la Católica,700000,,,
-,,,32501,Comedores universitarios,1900000,,,
-,,,32503,Residencia Corrala de Santiago,100000,,,
-,,,32504,Residencia Carmen de la Victoria,100000,,,
-,,329,Otros ingresos por prestación de servicios,,,100000,,
-,,,32999,Otros por prestación de servicios,100000,,,
-,33,Venta de bienes,,,,,250000,
-,,330,Publicaciones propias,,,250000,,
-,,,33000,Libros y revistas Editorial Universit.,250000,,,
-,,332,Fotocopias y otros productos de reprografía,,,0,,
-,,,33202,"Impresos matrícula, preinsc. y otros",0,,,
-,39,Otros Ingresos,,,,,175000,
-,,399,Ingresos diversos,,,175000,,
-,,,39900,Reintegro anuncios adjudicatarios,25000,,,
-,,,39999,Otros Ingresos,150000,,,
4,Transferencias corrientes,,,,,,,177713743
-,40,De la Administración General del Estado,,,,,10817000,
-,,400,Del Ministerio de Educación,,,10717000,,
-,,,40000,Financiación coste Ceuta y Melilla,8217000,,,
-,,,40003,Programas Europeos de movilidad,2500000,,,
-,,401,De otros Ministerios,,,100000,,
-,,,40100,Financiación operaciones corrientes,100000,,,
-,41,De Organismos Autónomos Administrativos,,,,,110000,
-,,410,De Organismos autónomos estatales,,,60000,,
-,,,41001,Del Instituto de la Mujer,40000,,,
-,,,41009,Del IMSERSO,20000,,,
-,,411,De Organismos autónomos Junta Andalucía,,,50000,,
-,,,41113,Instituto Andaluz de la Juventud,50000,,,
-,42,De la Seguridad Social,,,,,2000000,
-,,421,Del Servicio Andaluz de Salud,,,2000000,,
-,,,42100,Plazas vinculadas. C.Específico,2000000,,,
-,45,De Comunidades Autónomas,,,,,159571743,
-,,450,Consej.Innovación Ciencia y Empresa. J.And,,,159156743,,
-,,,45000,Financiación operativa estructural,103485184,,,
-,,,45001,Financ. Operativa vincul. resultados,44847362,,,
-,,,45002,Al Consejo Social,316983,,,
-,,,45003,Financiación Insuficiencia Financiera,3482214,,,
-,,,45004,Planes de apoyo  PRAEM,600000,,,
-,,,45005,Planes de apoyo Estudiantes y EEES,4450000,,,
-,,,45007,Otros Planes de apoyo ,1975000,,,
-,,451,De otras Consejerías,,,395000,,
-,,,45100,De Presidencia,50000,,,
-,,,45101,De Gobernación,30000,,,
-,,,45103,De Justicia y Administraciones Públic,30000,,,
-,,,45105,De Empleo,75000,,,
-,,,45106,"De Turismo, Comercio y Deporte",60000,,,
-,,,45110,De Igualdad y Bienestar Social,75000,,,
-,,,45111,De Cultura,75000,,,
-,,459,De otras Comunidades Autónomas,,,20000,,
-,,,45901,De la Ciudad Autónoma de Melilla,,,,
-,,,45902,De la Ciudad Autónoma de Ceuta,20000,,,
-,46,De Corporaciones Locales,,,,,90000,
-,,460,De Diputaciones y Cabildos Insulares,,,30000,,
-,,,46000,De la Diputación de Granada,30000,,,
-,,461,De Ayuntamientos,,,60000,,
-,,,46100,Del Ayuntamiento de Granada,30000,,,
-,,,46199,De otros Ayuntamientos,30000,,,
-,47,De empresas privadas,,,,,1125000,
-,,470,De entidades financieras,,,800000,,
-,,,47001,De Banco Mare Nostrum según Convenio,300000,,,
-,,,47002,Del BSCH según Convenio,500000,,,
-,,479,De otras empresas,,,325000,,
-,,,47900,Para prácticas educativas,250000,,,
-,,,47901,Para actividades académicas,75000,,,
-,49,Del exterior,,,,,4000000,
-,,495,Otras transferencias de la Unión Europea,,,4000000,,
-,,,49500,Para programas europeos,4000000,,,
5,Ingresos Patrimoniales,,,,,,,1506000
-,52,Intereses de depósitos,,,,,500000,
-,,520,Intereses de cuentas bancarias,,,500000,,
-,,,52000,De Banco Mare Nostrum,200000,,,
-,,,52001,De otras cuentas y depósitos,300000,,,
-,54,Rentas de bienes inmuebles,,,,,600000,
-,,541,Alquiler y productos de inmuebles,,,600000,,
-,,,54101,Instalaciones deportivas,500000,,,
-,,,54102,Aulas y otros recintos universitarios,100000,,,
-,55,Producto de concesiones y aprov.especiales,,,,,400000,
-,,551,De concesiones administrativas,,400000,400000,,
-,59,Otros ingresos patrimoniales,,,,,6000,
-,,591,Explotación de patentes,,,6000,,
-,,,59100,Licencias y explotación de patentes,6000,,,
7,Transferencias de capital,,,,,,,171762965
-,70,De la Administración General del Estado,,,,,23265000,
-,,700,"Del Ministerio Educación, Cultura y Deporte",,,23170000,,
-,,,70000,Para investigación científica,18000000,,,
-,,,70001,"Para equipam, Campus Ceuta y Melilla",270000,,,
-,,,70007,Cofinanciación Progr.Operativ.FEDER ,4900000,,,
-,,701,De otros Ministerios,,,95000,,
-,,,70100,Para investigación científica,95000,,,
-,,702,Del Ministerio de Ciencia e Innovación,,,0,,
-,,,70200, INNPLANTA Conv. 2012,,,,
-,71,De Organismos Autónomos Administrativos,,,,,693000,
-,,710,De Organismos autónomos estatales,,,593000,,
-,,,71000,Del Instituto de Salud Carlos III,150000,,,
-,,,71001,Del Instituto de la Mujer,35000,,,
-,,,71002,Del Instituto Nacional Invest.Agrarias,40000,,,
-,,,71003,Del Consejo Superior de Deportes,18000,,,
-,,,71004,De la A.E.C.I.,200000,,,
-,,,71005,Del C.S.I.C.,150000,,,
-,,711,De Organismos autónomos Junta Andalucía,,,100000,,
-,,,71101,Instituto Andaluz de la Mujer,50000,,,
-,,,71102,Instituto Estadística de Andalucía,50000,,,
-,74,De empresas públicas y otros entes públicos,,,,,400000,
-,,740,De Otros Organismos,,,200000,,
-,,,74001,De otros organismos,50000,,,
-,,,74099,De Otros Entes Públicos,150000,,,
-,,741,De Universidades,,,200000,,
-,,,74100,De Universidades Andaluzas,50000,,,
-,,,74199,De Otras Universidades,150000,,,
-,75,De Comunidades Autónomas,,,,,142224965,
-,,750,Consej.Economía Innovación Ciencia y Empleo,,,141859965,,
-,,,75000,Para investigación científica,10000000,,,
-,,,75001,Invers. Infraestr. y Equipam J And,44000000,,,
-,,,75002,Cofinanciación Progr.Operativ.FEDER,2100000,,,
-,,,75003,Proyecto Universidad Digital,211000,,,
