Tipo,Subtipo,Concepto,Importe
Personal docente e investigador,Funcionario,Retribuciones Básicas y Complementarias,114209276
Personal docente e investigador,Funcionario,Trienios,10451819
Personal docente e investigador,Funcionario,Indemnización por Residencia,811844
Personal docente e investigador,Funcionario,Cuota Patronal de la Seguridad Social,2136224
Personal docente e investigador,Funcionario,Complemento por Acción Social a prestación I.T.,-228149
Personal docente e investigador,Contratado,Retribuciones Básicas y Complementarias,29857302
Personal docente e investigador,Contratado,Trienios,1860478
Personal docente e investigador,Contratado,Indemnización por Residencia,1418253
Personal docente e investigador,Contratado,Cuota Patronal de la Seguridad Social,9111241
Personal docente e investigador,Contratado,Complemento por Acción Social a prestación I.T.,-36500
Personal de administración y servicios,Funcionario,Retribuciones Básicas y Complementarias,32341721
Personal de administración y servicios,Funcionario,Trienios,2322170
Personal de administración y servicios,Funcionario,Indemnización por Residencia,189868
Personal de administración y servicios,Funcionario,Cuota Patronal de la Seguridad Social,8950530
Personal de administración y servicios,Funcionario,Complemento por Acción Social a prestación I.T.,-91250
Personal de administración y servicios,Laboral,"Sueldo, Trienios y Complementos",35996234
Personal de administración y servicios,Laboral,Indemnización por Residencia,258858
Personal de administración y servicios,Laboral,Cuota Patronal de la Seguridad Social,12178264
Personal de administración y servicios,Laboral,Complemento por Acción Social a prestación I.T.,-374101
Otros,Otros,Cargos Académicos,2851329
Otros,Otros,Consejo Social,59805
Otros,Otros,Tribunales Pruebas de Acceso,225000
Otros,Otros,Coordinación Pruebas de Acceso,15000
Otros,Otros,Productividad y Artículo 32 Estatutos,3000
Otros,Otros,Personal de Colaboración Social INEM,300000
Otros,Otros,Plan de Formación del PAS,70000
Otros,Otros,Plan de Acción Social,869331
Otros,Otros,Indemnización e incentivos por Jubilación,2618709
Otros,Otros,Beneficios en Precios Públicos Personal Universidad,840000
Otros,Otros,Complemento a la Prestación por I.T.,730000
Otros,Otros,Estimación Reducción Ley 3/2012 Junta Andalucía ,0
