Capítulo,Concepto / Programa,Programa 442D,Programa 541A,Programa 321B
Capitulo 1º. Gastos de Personal,110 Personal eventual,360000,0,0
Capitulo 1º. Gastos de Personal,120 Funcionarios. Retribuciones básicas,55512660,0,23567
Capitulo 1º. Gastos de Personal,121 Funcionarios. Retribuciones complementarias,85931015,0,28039
Capitulo 1º. Gastos de Personal,130 Personal laboral. Retribuciones básicas,18517114,0,0
Capitulo 1º. Gastos de Personal,131 Personal laboral. Otras remuneraciones,43373885,0,0
Capitulo 1º. Gastos de Personal,134. Personal laboral de sustituciones,2140000,0,0
Capitulo 1º. Gastos de Personal,143 Personal colaboración social,300000,0,0
Capitulo 1º. Gastos de Personal,145 Retribuciones Asociados (LRU),25735,0,0
Capitulo 1º. Gastos de Personal,146 Retribuciones Asociados Ciencias de la Salud (LRU),408096,0,0
Capitulo 1º. Gastos de Personal,150 Productividad,25268939,0,8199
Capitulo 1º. Gastos de Personal,151 Gratificaciones,3000,0,0
Capitulo 1º. Gastos de Personal,160 Cuotas sociales,32376259,0,0
Capitulo 1º. Gastos de Personal,162.00 Prestaciones. Indemnización por jubilación,2618709,0,0
Capitulo 1º. Gastos de Personal,"162,01 Formación y Perfeccionamiento del PAS",70000,0,0
Capitulo 1º. Gastos de Personal,162.05 Plan de acción social,869331,0,0
Capitulo 1º. Gastos de Personal,162.05 Plan de Acción Social. Beneficios en precios publicos,840000,0,0
Capitulo 1º. Gastos de Personal,162.07 Prestaciones. Complemento a la prestación por I.T.,730000,0,0
Capitulo 2º. Gastos en Bienes Corrientes y Servicios,202 Arrendamiento de edificios y otros,,2722,800000
Capitulo 2º. Gastos en Bienes Corrientes y Servicios,"203 Arrendamiento de maquinaria, instalac.y utillaje",,2722,62302
Capitulo 2º. Gastos en Bienes Corrientes y Servicios,204 Arrendamiento de material de transporte,2037,2722,6230
Capitulo 2º. Gastos en Bienes Corrientes y Servicios,205 Arrendamiento de mobiliario y enseres,20369,2722,74761
Capitulo 2º. Gastos en Bienes Corrientes y Servicios,206 Arrendamiento de equipos informáticos,2037,2722,2492
