Capítulo,Artículo,Programa 422D,Programa 541A,Programa 321B
Capitulo 1º. Gastos de personal,11 Personal eventual,360000,0,0
Capitulo 1º. Gastos de personal,12 Personal Funcionario,141443675,0,51606
Capitulo 1º. Gastos de personal,13 Personal laboral,64030999,0,0
Capitulo 1º. Gastos de personal,14 Otro Personal,733831,0,0
Capitulo 1º. Gastos de personal,15 Incentivos al rendimiento,25271939,0,8199
Capitulo 1º. Gastos de personal,"16 Cuotas, prestaciones y gastos sociales",37504299,0,0
Capitulo 2º. Gastos en bienes corrientes y servicios,20 Arrendamientos y cánones ,26480,16333,948277
Capitulo 2º. Gastos en bienes corrientes y servicios,"21 Reparaciones, mantenimiento y conservación",856017,363376,5249281
Capitulo 2º. Gastos en bienes corrientes y servicios,"22 Material, suministros y otros de oficina",8512946,697778,21263369
Capitulo 2º. Gastos en bienes corrientes y servicios,23 Indemnizaciones por razón del servicio,1731373,166096,1506134
Capitulo 3º. Gastos financieros,31 De préstamos en moneda nacional,0,0,400000
Capitulo 4º. Transferencias corrientes,48 A Familias e Instituciones sin fines de lucro,14827407,42566,935755
Capitulo 4º. Transferencias corrientes,49 Al exterior,25000,0,0
Capitulo 6º. Inversiones reales,60 Inversiones de carácter material,375000,2660618,2899571
Capitulo 6º. Inversiones reales,62 Inversiones Infraestructura y Equipamiento Junta Andalucía,0,0,4416000
Capitulo 6º. Inversiones reales,63 Actuaciones Campus de Excelencia y Programa Fortalecimiento,0,0,0
Capitulo 6º. Inversiones reales,64 Inversiones de carácter inmaterial,105624,49644478,0
Capitulo 6º. Inversiones reales,66 Inversiones de Reposición,0,0,3100000
Capitulo 7º. Transferencias de capital,78 A Familias e Instituciones sin fines de lucro,200000,0,118213
Capitulo 8º. Activos financieros,83 Concesión préstamos en sector público,650000,0,0
Capitulo 9º. Pasivos financieros,91 Amortización de préstamos en moneda nacional,0,0,3314122
