"Rama ","Plan de estudios","Tasa de rendimiento (%)","Tasa de Éxito (%)","Tasa de evaluación (%)"
"Artes y Humanidades","1er - 2º ciclo",63,"87,08","72,35"
"Ciencias","1er - 2º ciclo","57,65","82,76","69,66"
"Ciencias de la Salud","1er - 2º ciclo","67,92","87,48","77,64"
"Ciencias Sociales y Jurí­dicas","1er - 2º ciclo","63,86","84,22","75,83"
"Ingenierí­a y Arquitectura","1er - 2º ciclo","58,85","85,89","68,51"
"Artes y Humanidades","Grado","79,81","89,66","89,01"
"Ciencias","Grado","68,23","77,52","88,01"
"Ciencias de la Salud","Grado","85,42","90,44","94,44"
"Ciencias Sociales y Jurí­dicas","Grado","80,49","87,58","91,9"
"Ingenierí­a y Arquitectura","Grado","62,12","75,95","81,79"
"Artes y Humanidades","Máster","90,93","99,6","91,29"
"Ciencias","Máster","92,02","99,69","92,31"
"Ciencias de la Salud","Máster","95,53","99,87","95,65"
"Ciencias Sociales y Jurí­dicas","Máster","91,53","99,71","91,8"
"Ingenierí­a y Arquitectura","Máster","87,59","99,67","87,88"
