"RETRIBUCIONES PROFESORADO CONTRATADO (CONTRATO ADMINISTRATIVO) JUNIO A DICIEMBRE 2010",,,,,,,,,
,,,,,,,,,
CUERPO,DEDC.,SUELDO,C.DESTINO,C.ESPEC.,"TOTAL MES","100% C.D.",P.EXTRA,P.ADIC.C.ESP,
,,,,,,,,(C.GENERAL),
"ASOCIADO TIPO 1",T.C.,709.80,373.09,112.43,1195.32,373.09,1082.89,112.43,
ASOC1,6H,323.71,186.17,,509.88,186.17,509.88,,
,5H,269.76,155.15,,424.91,155.15,424.91,,
,4H,215.81,124.12,,339.93,124.12,339.93,,
,3H,161.86,93.09,,254.95,93.09,254.95,,
,,,,,,,,,
"ASOCIADO TIPO 2",T.C.,887.22,466.36,131.11,1484.69,466.36,1353.58,131.11,
"ASOC2, UGV2L",6H,404.64,232.72,,637.36,232.72,637.36,,
"ALCR2 (T.P.)",5H,337.20,193.94,,531.14,193.94,531.14,,
,4H,269.76,155.15,,424.91,155.15,424.91,,
,3H,202.32,116.36,,318.68,116.36,318.68,,
,,,,,,,,,
"ASOCIADO TIPO 3 ",T.C.,887.22,636.70,284.43,1808.35,636.70,1523.92,284.43,
"ASOC3, UGVLC",6H,404.64,383.29,,787.93,383.29,787.93,,
,5H,337.20,319.41,,656.61,319.41,656.61,,
,4H,269.76,255.53,,525.29,255.53,525.29,,
,3H,202.32,191.65,,393.97,191.65,393.97,,
,,,,,,,,,
