"RETRIBUCIONES PROFESORADO LABORAL DE JUNIO A DICIEMBRE "2010," UNIVERSIDAD DE GRANADA",,,,,,,
,,,,,,,
CATEGORIA,DEDIC.,SUELDO,"C.SINGULAR CATEG.",C.DOCTOR,"TOTAL MES","P.EXTRA DIC/10",COEFIC.2010
,,,,,,,
AYUDANTE,T.C.,"720,88","814,39",,"1,"535,27"","1,"219,74"","65% T.U."
UGAYU,,,,,,,
"AYUDANTE ( D.E.A.)",T.C.,"720,88","814,39","47,24","1,"582,51"","1,"266,98"","65% + 2% T.U."
,,,,,,,
"AYUDANTE (DOCTOR)",T.C.,"720,88","814,39","118,10","1,"653,37"","1,"337,84"","65% + 5% T.U."
,,,,,,,
,,,,,,,
"P. AYUDANTE DOCTOR",T.C.,"998,15","1,"127,62"",,"2,"125,76"","1,"688,88"","90% T.U."
UGADR,,,,,,,
,,,,,,,
,,,,,,,
"P. CONTRATADO DOCTOR",T.C.,"1109,05","1252,91",,"2,"361,96"","1,"876,53"","100% T.U."
UGCDR,,,,,,,
,,,,,,,
,,,,,,,
COLABORADOR,T.C.,"942,69",""1,064",97",,"2,"007,66"","1,"595,05"","85% T.U."
UGCLB,,,,,,,
"COLABORADOR (D.E.A.)",T.C.,"942,69",""1,064",97","47,24","2,"054,90"","1,"642,29"","85% + 2% T.U."
,,,,,,,
"COLABORADOR (DOCTOR)",T.C.,"942,69",""1,064",97","118,10","2,"125,76"","1,"713,15"","85% + 5% T.U."
,,,,,,,
"P.VISITANTE (UGVLC)",T.C.,"887,22","597,47",,"1,"484,69"","1,"484,69"",
"P.VISITANTE DOCTOR (UGVLC)",T.C.,"887,22","921,13",,"1,"808,35"","1,"808,35"",
,,,,,,,
INTERINOS,T.C.,"665,43","751,75",,"1,"417,18"","1,"125,92"","60 % T.U."
"UGISP, UGISD",,,,,,,
"ASOCIADOS E INTERINOS",6H,"266,17","300,70",,"566,87","450,37","24 % T.U."
"UGA1L, UGISP, UGISD",5H,"221,81","250,58",,"472,39","375,30","20 % T.U."
,4H,"177,45","200,47",,"377,92","300,25","16 % T.U."
,3H,"133,09","150,35",,"283,44","225,18","12 % T.U."
,2H,"99,81","112,76",,"212,57","168,89","9 % T.U."
,,,,,,,
"ASOC. CC DE LA SALUD",,"266,70",,,,,
UGCSL,,,,,,,
,,,,,,,
,,,,,,,
