CATEGORÍA,TIPO,SUELDO (INDIVIDUAL MENSUAL),C. DESTINO / C. SING. CATEG. (INDIVIDUAL MENSUAL),C. DOCTOR / C. ESPECÍFICO (INDIVIDUAL MENSUAL),PLANTILLA,SUELDO (TOTAL ANUAL),C. DESTINO / C. SING. CATEG. (TOTAL ANUAL),C. DOCTOR / C. ESPECÍFICO (TOTAL ANUAL),INDIVIDUAL,TOTAL´
Colaborador ,TC,"942,69","1064,97",0,149,"2176240,36","1904166,36",0,"27385,28","4080406,72"
Profesor Visitante ,TC,"887,22","597,47",0,13,1215,"93205,32",0,"7263,1","94420,32"
Profesor Asociado,2,"99,81","112,76",0,6,"9278,52","8118,72",0,"2899,54","17397,24"
Profesor Asociado,3,"133,09","150,35",0,63,"129907,26","113664,6",0,"3866,22","243571,86"
Profesor Asociado ,4,"177,45","200,47",0,43,"118221,62","103442,52",0,"5154,98","221664,14"
Profesor Asociado ,5,"221,81","250,58",0,34,"116845,08","102236,64",0,"6443,58","219081,72"
Profesor Asociado,6,"266,17","300,7",0,258,"1063976,52","930967,2",0,"7732,34","1994943,72"
Profesor Ayudante Doctor,TC,"720,88","814,39","118,1",160,"1824835,2","1563628,8",264544,"22831,3",3653008
Profesor Ayudante ,TC,"720,88","814,39",0,5,"55845,1","48863,4",0,"20941,7","104708,5"
Profesor Contratado Doctor,TC,"1109,05","1252,91",0,341,"5859450,74","5126907,72",0,"32218,06","10986358,46"
Asociados Tipo 2,3,"202,32","116,36",0,0,0,0,0,=,0
Asociados Tipo 2,4,"269,76","155,15",0,0,0,0,0,=,0
Asociados Tipo 2,5,"337,2","193,94",0,0,0,0,0,=,0
Asociados Tipo 2,6,"404,64","232,72",0,0,0,0,0,=,0
Asociados Tipo 2,TC,"887,22","466,36","131,11",0,0,0,0,=,0
Asociados Tipo 3,3,"202,32","191,65",0,0,0,0,0,=,0
Asociados Tipo 3,4,"269,76","255,53",0,0,0,0,,=,0
Asociados Tipo 3,5,"337,2","319,41",0,0,0,0,0,=,0
Asociados Tipo 3,6,"404,64","383,29",0,0,0,0,0,=,0
Asociados Tipo 3,TC,"887,22","636,7","284,43",0,0,0,0,=,0
Asociados Ciencias de la Salud,3,"266,7",0,0,208,"665683,2",0,0,"3200,4","665683,2"
Asociados Extranjeros,TC,"1016,93","683,12","112,39",1,"15673,42","8197,44","1573,46","25444,32","25444,32"
Profesor Laboral Permanente,TC,"1525,84","914,16","104,67",2,"39357,6","21939,84","2512,08","31904,76","63809,52"
Profesores de Educación Física,TC,"1512,66","405,9",0,4,"84708,96","19483,2",0,"26048,04","104192,16"
Profesorado EU Enfermería Ceuta,No indicado,No indicado,No indicado,No indicado,5,No indicado,No indicado,No indicado,No indicado,180000
Complemento Autonómico,No indicado,No indicado,No indicado,No indicado,No indicado,No indicado,No indicado,No indicado,No indicado,"695348,28"
Docentes por sustituciones,No indicado,No indicado,No indicado,No indicado,No indicado,No indicado,No indicado,No indicado,No indicado,750000
Previsión actuaciones personal Docente e Investigador Contratado,No indicado,No indicado,No indicado,No indicado,No indicado,No indicado,No indicado,No indicado,No indicado,1000000
