Capítulo,Art.,Concp,Subconc,Denominación,Subconc,Concp,Art.,Cap.
4,Transferencias corrientes,,,,,,,177713743
-,40,De la Administración General del Estado,,,,,10817000,,
-,,400,Del Ministerio de Educación,,,10717000,,,
-,,,40000,Financiación coste Ceuta y Melilla,8217000,,,,
-,,,40003,Programas Europeos de movilidad,2500000,,,,
-,,401,De otros Ministerios,,,100000,,,
-,,,40100,Financiación operaciones corrientes,100000,,,,
-,41,De Organismos Autónomos Administrativos,,,,,110000,,
-,,410,De Organismos autónomos estatales,,,60000,,,
-,,,41001,Del Instituto de la Mujer,40000,,,,
-,,,41009,Del IMSERSO,20000,,,,
-,,411,De Organismos autónomos Junta Andalucía,,,50000,,,
-,,,41113,Instituto Andaluz de la Juventud,50000,,,,
-,42,De la Seguridad Social,,,,,2000000,,
-,,421,Del Servicio Andaluz de Salud,,,2000000,,,
-,,,42100,Plazas vinculadas. C.Específico,2000000,,,,
-,45,De Comunidades Autónomas,,,,,159571743,,
-,,450,Consej.Innovación Ciencia y Empresa. J.And,,,159156743,,,
-,,,45000,Financiación operativa estructural,103485184,,,,
-,,,45001,Financ. Operativa vincul. resultados,44847362,,,,
-,,,45002,Al Consejo Social,316983,,,,
-,,,45003,Financiación Insuficiencia Financiera,3482214,,,,
-,,,45004,Planes de apoyo  PRAEM,600000,,,,
-,,,45005,Planes de apoyo Estudiantes y EEES,4450000,,,,
-,,,45007,Otros Planes de apoyo ,1975000,,,,
-,,451,De otras Consejerías,,,395000,,,
-,,,45100,De Presidencia,50000,,,,
-,,,45101,De Gobernación,30000,,,,
-,,,45103,De Justicia y Administraciones Públic,30000,,,,
-,,,45105,De Empleo,75000,,,,
-,,,45106,"De Turismo, Comercio y Deporte",60000,,,,
-,,,45110,De Igualdad y Bienestar Social,75000,,,,
-,,,45111,De Cultura,75000,,,,
-,,459,De otras Comunidades Autónomas,,,20000,,,
-,,,45901,De la Ciudad Autónoma de Melilla,,,,,
-,,,45902,De la Ciudad Autónoma de Ceuta,20000,,,,
-,46,De Corporaciones Locales,,,,,90000,,
-,,460,De Diputaciones y Cabildos Insulares,,,30000,,,
-,,,46000,De la Diputación de Granada,30000,,,,
-,,461,De Ayuntamientos,,,60000,,,
-,,,46100,Del Ayuntamiento de Granada,30000,,,,
-,,,46199,De otros Ayuntamientos,30000,,,,
-,47,De empresas privadas,,,,,1125000,,
-,,470,De entidades financieras,,,800000,,,
-,,,47001,De Banco Mare Nostrum según Convenio,300000,,,,
-,,,47002,Del BSCH según Convenio,500000,,,,
-,,479,De otras empresas,,,325000,,,
-,,,47900,Para prácticas educativas,250000,,,,
-,,,47901,Para actividades académicas,75000,,,,
-,49,Del exterior,,,,,4000000,,
-,,495,Otras transferencias de la Unión Europea,,,4000000,,,
-,,,49500,Para programas europeos,4000000,,,,
