Tipo,Subtipo,Concepto,Importe
Personal docente e investigador,Funcionario,Retribuciones Básicas y Complementarias,109847258
Personal docente e investigador,Funcionario,Trienios,10212662
Personal docente e investigador,Funcionario,Indemnización por Residencia,792019
Personal docente e investigador,Funcionario,Cuota Patronal de la Seguridad Social,1688466
Personal docente e investigador,Funcionario,Complemento por Acción Social a prestación I.T.,-250000
Personal docente e investigador,Contratado,Retribuciones Básicas y Complementarias,26207216
Personal docente e investigador,Contratado,Trienios,1823641
Personal docente e investigador,Contratado,Indemnización por Residencia,1147317
Personal docente e investigador,Contratado,Cuota Patronal de la Seguridad Social,7838326
Personal docente e investigador,Contratado,Complemento por Acción Social a prestación I.T.,-40000
Personal de administración y servicios,Funcionario,Retribuciones Básicas y Complementarias,31437828
Personal de administración y servicios,Funcionario,Trienios,2189192
Personal de administración y servicios,Funcionario,Indemnización por Residencia,191814
Personal de administración y servicios,Funcionario,Cuota Patronal de la Seguridad Social,8637292
Personal de administración y servicios,Funcionario,Complemento por Acción Social a prestación I.T.,-100000
Personal de administración y servicios,Laboral,"Sueldo, Trienios y Complementos",36447058
Personal de administración y servicios,Laboral,Indemnización por Residencia,185493
Personal de administración y servicios,Laboral,Cuota Patronal de la Seguridad Social,12320138
Personal de administración y servicios,Laboral,Complemento por Acción Social a prestación I.T.,-410000
Personal de administración y servicios,Laboral,Cargos Académicos,2968346
Personal de administración y servicios,Laboral,Consejo Social,58099
Personal de administración y servicios,Laboral,Tribunales Pruebas de Acceso,300000
Personal de administración y servicios,Laboral,Coordinación Pruebas de Acceso,15000
Personal de administración y servicios,Laboral,Productividad y Artículo 32 Estatutos,3000
Personal de administración y servicios,Laboral,Personal de Colaboración Social INEM,300000
Personal de administración y servicios,Laboral,Plan de Formación del PAS,200000
Personal de administración y servicios,Laboral,Plan de Acción Social,869331
Personal de administración y servicios,Laboral,Indemnización e incentivos por Jubilación,3655000
Personal de administración y servicios,Laboral,Beneficios en Precios Públicos Personal Universidad,840000
Personal de administración y servicios,Laboral,Complemento a la Prestación por I.T.,800000
Personal de administración y servicios,Laboral,Estimación Reducción Ley 3/2012 Junta Andalucía ,No especificado
,,,
,,Nota: Los gastos que se preven ejecutar en concepto de vestuario de Pas Laboral y que suponen ,
,,"488,115,48 euros, se encuentran imputados en el concepto 221 ""Suministros"" del capítulo 2º, por lo ",
,,"que el Capítulo 1º ""Gastos de Personal"", asciende a ¤. ",259671381
