Orgánica,CENTRO,2014
3020070000,Vicerrectorado de Extensión Universitaria y Deporte,20000
3020070000,Actuaciones de Extensión Universitaria,405000
3022870000,Patrimonio Mueble,20000
3020010000,Centro de Actividades Deportivas,301500
3021160000,Editorial Universidad de Granada,112500
3021430000,Comisión Mixta Universidad-MADOC,35000
3022520000,Orquesta de Cámara de la UGR,60000

3020060000,Vicerrectorado de Política Científica e Investigación,20000
3020170000,Biblioteca Universitaria,3600000
3021300000,Biblioteca de Medicina y Ciencias de la Salud,10000
3020020000,Centro de Instrumentación Científica,162000
3020190000,Oficina de Transferencia de Resultados de Investigación,40000
3022260000,Oficina de Proyectos Internacionales,25000
3021270000,Centro de Documentación Científica,9200
3020560000,Centro de Documentación Europea,9200
3022540000,Edificio Centro de Investigación Biomédica,30000
3023170000,Centro de Investigación CITIC,18000
-,Institutos Universitarios (14),159600,
-,Institutos Universitarios Contratos Programa ,23940,
3021220000,Jardines Botánicos,16500
3021040000,Herbario Universitario,12500

3020200000,Vicerrectorado de Estudiantes,20000
3020200000,Actuaciones Vicerrectorado de Estudiantes,380000
3022610000,Coordinación Acceso,10000
3021450000,Casa de Porras,17000

3021810000,Vicerrectorado de Relaciones Internac. y Cooperación al Desarrollo,20000
3021120000,Oficina de Relaciones Internacionales,104000
3020450000,Centro de Iniciativas de Cooperación al Desarrollo,281000

3021390000,Vicerrectorado de Enseñanzas de Grado y Posgrado ,20000
3020240000,Másteres Universitarios,1080000
-,Escuelas de Doctorado,90000,
3020500000,Escuela Internacional de Posgrado,85000
3020870000,Aula Permanente de Formación Abierta,30000

3020350000,Vicerrectorado de Ordenación Académica y Profesorado,20000

3022500000,Vicerrectorado para la Garantía de la Calidad ,20000

3020520000,Vicerrectorado de Infraestructuras y Campus,20000

3021190000,Vicerrectorado de Parque Tecnológico de Ciencias de la Salud,20000
3023360000,Desarrollo Campus CC Salud,10000

3023470000,Delegación de Calidad Ambiental y Bienestar,20000
3020770000,Calidad Ambiental,40000
3023480000,Actuaciones de Cooperación al Desarrollo Local,10000
3022900000,Gabinete de Calidad de Vida y Envejecimiento,12000

3023490000,Delegación para el Campus Universitario de Melilla,20000
3023200000,Coordinación Melilla,20000
3023210000,Coordinación Ceuta ,15000

3023500000,"Delegación para Transferencia, Innovación y Empresa",20000

3023510000,Delegación para las TIC,20000
3020040000,Centro de Servicios de Informática y Redes de Comunicación,364000
3022730000,Edificio Cevug,12000

3022860000,Secretaría General,20000
3022860000,"Secretaria General. Documentación, difusión y comunicaciones",15000
3023340000,Archivo Universitario,15000

3020000000,Gerencia Servicios Centrales,1800000
3020310000,Colegio Mayor Isabel La Católica,125000
3020320000,Residencia Carmen de La Victoria,23000
3020470000,Residencia Corrala de Santiago,23000
3021310000,Edificio Fray Luis de Granada,6700
3020530000,Gabinete de Acción Social,12000

3022880000,Oficina de la Inspección de Servicios,5000
3021150000,Oficina del Defensor Universitario,5000
3022890000,Unidad de Igualdad,17000
-,Incentivos al Cumplimiento Ley de Morosidad,198733,
TOTALES,,10135373
