,2005,2006,2007,2008,2009,2010
Nº pub. WoS (Thomson),1019,1218,1432,1526,1662,1733
Nº pub. Citables  WoS (Thomson),954,1080,1289,1369,1510,1609
Promedio de Impact Factor,1.94,2.01,2.16,2.23,2.42,2.46
Sumatorio de Impact Factor,1740,2068,2556,2793,3406,3701
Nº 1º Cuartil ,378,456,523,564,718,803
% 1º Cuartil,40%,42%,41%,41%,48%,50%
Nº Top3,89,104,107,119,141,129
% Top3,9%,10%,8%,9%,9%,8%
Nº Papers con Impact Factor > 5,37,33,54,72,95,98
Nº Papers con Impact Factor > 10,0,2,9,6,8,8
,,,,,,
En Revistas JCR - Social Sciences Ed,,,,,,
Nº pub Citables WoS,79,89,144,138,196,231
% 1º Cuartil,33%,36%,31%,22%,24%,27%
% Top3,8%,6%,3%,4%,6%,4%
Promedio de Impact Factor,1.33,1.33,1.28,1.44,1.33,1.36
En Revistas JCR - Science Ed,,,,,,
Nº pub Citables WoS,838,964,1070,1149,1250,1322
% 1º Cuartil,44%,45%,45%,47%,56%,58%
% Top3,10%,10%,10%,10%,10%,9%
Promedio de Impact Factor,2.01,2.06,2.27,2.33,2.59,2.64
