Titulación ,Núm. Cursos en  Plan Estudios,Núm. Estud (2007/2008),Media (2007/2008), Núm. Estud (2008/2009),Media (2008/2009),Núm. Estud (2009/2010),Media (2009/2010),Núm. Estud (2010/2011),Media (2010/2011)
LICENCIADO EN ANTROPOLOGÍA SOCIAL Y CULTURAL,2,91,"2,79",70,"3,31",82,"3,3",95,"3,02"
LICENCIADO EN BELLAS ARTES,4,121,"5,63",127,"5,93",155,"5,83",110,"5,97"
LICENCIADO EN FILOLOGÍA ÁRABE,5,12,"6,33",6,"7,17",3,6,23,"6,04"
LICENCIADO EN FILOLOGÍA CLÁSICA,5,1,5,6,"6,17",2,"5,5",7,"5,71"
LICENCIADO EN FILOLOGÍA ESLAVA,5,3,"6,67",5,"6,6",6,"7,17",5,"5,6"
LICENCIADO EN FILOLOGÍA FRANCESA,5,13,"6,15",28,"6,14",26,"7,15",14,"6,57"
LICENCIADO EN FILOLOGÍA HEBREA,5,0,0,0,0,0,0,1,8
LICENCIADO EN FILOLOGÍA HISPÁNICA,5,39,"6,38",43,"6,21",34,"6,91",34,"6,24"
LICENCIADO EN FILOLOGÍA INGLESA,5,80,"5,93",87,"6,29",89,"6,25",76,"6,7"
LICENCIADO EN FILOLOGÍA ITALIANA,2,3,3,2,"2,5",1,3,2,"2,5"
LICENCIADO EN FILOLOGÍA PORTUGUESA,2,1,2,0,0,4,"3,5",4,"2,5"
LICENCIADO EN FILOLOGÍA ROMÁNICA,5,0,0,1,5,0,0,0,0
LICENCIADO EN FILOSOFÍA,5,29,7,35,"6,34",29,"6,38",27,"6,67"
LICENCIADO EN GEOGRAFÍA,5,10,"7,1",13,"6,69",6,"8,33",5,"5,6"
LICENCIADO EN HISTORIA,5,58,"6,14",80,"6,13",62,"6,23",65,"6,42"
LICENCIADO EN HISTORIA DEL ARTE,5,74,"6,51",97,"6,92",62,"5,94",50,"6,52"
LICENCIADO EN HISTORIA Y CIENCIAS DE LA MUSICA,2,41,"3,27",36,"2,78",40,"3,08",33,"3,12"
LICENCIADO EN TEORÍA DE LA LITERATURA Y LITERATURA COMPARADA,2,17,"2,94",17,"2,71",14,"3,21",14,"3,14"
LICENCIADO EN TRADUCCIÓN E INTERPRETACIÓN,4,189,"5,29",206,"5,38",201,"5,47",206,"5,38"
